task,task_type,model,seed,seq_len,epochs,bsz,primary,metrics_json
IndiaPoliceEvents_docs,multilabel,ModernBERT-base,123,1024,5,16,0.68381,"{""eb_f1"": 0.6838095238095238, ""eb_acc"": 0.6392156862745099, ""eb_prec"": 0.8040540540540541, ""eb_rec"": 0.7803030303030303, ""f1_micro"": 0.7833333333333333, ""f1_macro"": 0.6504934894408578, ""primary"": 0.6838095238095238, ""lr"": 3e-05, ""dev_primary"": 0.6662}"
IndiaPoliceEvents_docs,multilabel,ModernBERT-base,124,1024,5,16,0.65647,"{""eb_f1"": 0.6564705882352941, ""eb_acc"": 0.6205882352941176, ""eb_prec"": 0.8238095238095238, ""eb_rec"": 0.7359307359307359, ""f1_micro"": 0.7665198237885462, ""f1_macro"": 0.6709674368903579, ""primary"": 0.6564705882352941, ""lr"": 3e-05, ""dev_primary"": 0.67268}"
IndiaPoliceEvents_docs,multilabel,ModernBERT-base,125,1024,5,16,0.5781,"{""eb_f1"": 0.5780952380952382, ""eb_acc"": 0.5197916666666667, ""eb_prec"": 0.9016393442622951, ""eb_rec"": 0.5487012987012988, ""f1_micro"": 0.6458333333333334, ""f1_macro"": 0.37722222222222224, ""primary"": 0.5780952380952382, ""lr"": 3e-05, ""dev_primary"": 0.57915}"
IndiaPoliceEvents_docs,multilabel,ConfliBERT-v2-wsd,123,1024,5,16,0.69145,"{""eb_f1"": 0.691451520367183, ""eb_acc"": 0.6536144578313253, ""eb_prec"": 0.8333333333333333, ""eb_rec"": 0.7629870129870129, ""f1_micro"": 0.8034188034188035, ""f1_macro"": 0.7367782131384801, ""primary"": 0.691451520367183, ""lr"": 8e-05, ""dev_primary"": 0.73264}"
IndiaPoliceEvents_docs,multilabel,ConfliBERT-v2-wsd,124,1024,5,16,0.64018,"{""eb_f1"": 0.6401785714285714, ""eb_acc"": 0.5989583333333334, ""eb_prec"": 0.6863295880149812, ""eb_rec"": 0.8528138528138529, ""f1_micro"": 0.7715355805243446, ""f1_macro"": 0.713422758811199, ""primary"": 0.6401785714285714, ""lr"": 8e-05, ""dev_primary"": 0.68537}"
IndiaPoliceEvents_docs,multilabel,ConfliBERT-v2-wsd,125,1024,5,16,0.63333,"{""eb_f1"": 0.6333333333333333, ""eb_acc"": 0.6004016064257028, ""eb_prec"": 0.8564102564102564, ""eb_rec"": 0.6774891774891775, ""f1_micro"": 0.7592592592592593, ""f1_macro"": 0.6688811149607006, ""primary"": 0.6333333333333333, ""lr"": 8e-05, ""dev_primary"": 0.65965}"
IndiaPoliceEvents_docs,multilabel,ModernBERT-base,123,2048,5,16,0.61033,"{""eb_f1"": 0.6103270223752151, ""eb_acc"": 0.570281124497992, ""eb_prec"": 0.864102564102564, ""eb_rec"": 0.6298701298701299, ""f1_micro"": 0.7272727272727273, ""f1_macro"": 0.5644866321099201, ""primary"": 0.6103270223752151, ""lr"": 3e-05, ""dev_primary"": 0.65622}"
IndiaPoliceEvents_docs,multilabel,ModernBERT-base,124,2048,5,16,0.6596,"{""eb_f1"": 0.6596040663456394, ""eb_acc"": 0.6142322097378277, ""eb_prec"": 0.7322916666666666, ""eb_rec"": 0.8095238095238095, ""f1_micro"": 0.766798418972332, ""f1_macro"": 0.6707877786352168, ""primary"": 0.6596040663456394, ""lr"": 3e-05, ""dev_primary"": 0.67596}"
IndiaPoliceEvents_docs,multilabel,ModernBERT-base,125,2048,5,16,0.57931,"{""eb_f1"": 0.5793062904174016, ""eb_acc"": 0.5421810699588477, ""eb_prec"": 0.8694444444444444, ""eb_rec"": 0.5768398268398268, ""f1_micro"": 0.69, ""f1_macro"": 0.5386373457153855, ""primary"": 0.5793062904174016, ""lr"": 3e-05, ""dev_primary"": 0.58756}"
IndiaPoliceEvents_docs,multilabel,ConfliBERT-v2-wsd,123,2048,5,16,0.64778,"{""eb_f1"": 0.647783251231527, ""eb_acc"": 0.6063218390804598, ""eb_prec"": 0.7622222222222222, ""eb_rec"": 0.7629870129870129, ""f1_micro"": 0.7673469387755102, ""f1_macro"": 0.7065722865722865, ""primary"": 0.647783251231527, ""lr"": 8e-05, ""dev_primary"": 0.7583}"
IndiaPoliceEvents_docs,multilabel,ConfliBERT-v2-wsd,124,2048,5,16,0.69949,"{""eb_f1"": 0.6994897959183672, ""eb_acc"": 0.6696428571428571, ""eb_prec"": 0.8287671232876712, ""eb_rec"": 0.7716450216450216, ""f1_micro"": 0.8068669527896996, ""f1_macro"": 0.768000770999408, ""primary"": 0.6994897959183672, ""lr"": 8e-05, ""dev_primary"": 0.69719}"
