source,year,n_articles
Gigaword,1994,86325
Gigaword,1995,271389
Gigaword,1996,294524
Gigaword,1997,234328
Gigaword,1998,186145
Gigaword,1999,152500
Gigaword,2000,133324
Gigaword,2001,137348
Gigaword,2002,245775
Gigaword,2003,291979
Gigaword,2004,259310
Gigaword,2005,255357
Gigaword,2006,265422
Gigaword,2007,277811
Gigaword,2008,260292
Gigaword,2009,251169
Gigaword,2010,227263
News,-1,2446916
News,1980,14273
News,1981,64433
News,1982,73783
News,1983,70715
News,1984,63321
News,1985,58972
News,1986,57584
News,1987,53307
News,1988,39429
News,1989,37151
News,1990,26325
News,1991,21030
News,1992,21866
News,1993,28568
News,1994,28470
News,1995,38283
News,1996,37299
News,1997,26665
News,1998,18840
News,1999,21802
News,2000,35143
News,2001,42457
News,2002,55104
News,2003,60151
News,2004,88777
News,2005,50519
News,2006,44908
News,2007,102564
News,2008,112208
News,2009,112881
News,2010,133265
News,2011,202766
News,2012,214637
News,2013,236338
News,2014,236033
News,2015,289528
News,2016,285514
News,2017,278360
News,2018,318830
News,2019,323010
News,2020,266310
News,2021,72882
News,2025,1
Organization,-1,210369
Organization,1945,3913
Organization,1946,7914
Organization,1947,6426
Organization,1948,7206
Organization,1949,7810
Organization,1950,5421
Organization,1951,7137
Organization,1952,4113
Organization,1953,4604
Organization,1954,7292
Organization,1955,3631
Organization,1956,3367
Organization,1957,3552
Organization,1958,2790
Organization,1959,2391
Organization,1960,3342
Organization,1961,3174
Organization,1962,3842
Organization,1963,3673
Organization,1964,2908
Organization,1965,2711
Organization,1966,2133
Organization,1967,2768
Organization,1968,2806
Organization,1969,2483
Organization,1970,2743
Organization,1971,3085
Organization,1972,3238
Organization,1973,2389
Organization,1974,1843
Organization,1975,2045
Organization,1976,1739
Organization,1977,2305
Organization,1978,2080
Organization,1979,1965
Organization,1980,1795
Organization,1981,391
Organization,1982,595
Organization,1983,214
Organization,1984,268
Organization,1985,273
Organization,1986,183
Organization,1987,171
Organization,1988,92
Organization,1989,15
Organization,1990,24
Organization,1991,70
Organization,1992,71
Organization,1993,97
Organization,1994,80
Organization,1995,74
Organization,1996,98
Organization,1997,187
Organization,1998,395
Organization,1999,772
Organization,2000,5579
Organization,2001,9968
Organization,2002,10473
Organization,2003,8837
Organization,2004,8625
Organization,2005,9153
Organization,2006,10987
Organization,2007,11331
Organization,2008,12996
Organization,2009,13519
Organization,2010,13498
Organization,2011,14372
Organization,2012,17529
Organization,2013,16257
Organization,2014,15371
Organization,2015,14097
Organization,2016,11469
Organization,2017,11084
Organization,2018,12143
Organization,2019,11787
Organization,2020,9129
Organization,2021,828
UTDstory,-1,939613
Wikipedia,-1,705998
