task,task_type,model,seed,seq_len,epochs,bsz,primary,metrics_json
re3d,ner,ConfliBERT-2021,123,128,5,16,0.60976,"{""f1_micro"": 0.6097560975609756, ""f1_macro"": 0.29070576323404657, ""precision"": 0.5625, ""recall"": 0.665680473372781, ""acc"": 0.8586646376260224, ""primary"": 0.6097560975609756, ""lr"": 2e-05, ""dev_primary"": 0.61592}"
re3d,ner,ConfliBERT-2021,123,128,5,16,0.63563,"{""f1_micro"": 0.6356275303643724, ""f1_macro"": 0.392730936981634, ""precision"": 0.5843672456575683, ""recall"": 0.6967455621301775, ""acc"": 0.8742628875784668, ""primary"": 0.6356275303643724, ""lr"": 3e-05, ""dev_primary"": 0.66667}"
re3d,ner,ConfliBERT-2021,123,128,5,16,0.67973,"{""f1_micro"": 0.6797297297297298, ""f1_macro"": 0.5627062827856317, ""precision"": 0.6256218905472637, ""recall"": 0.7440828402366864, ""acc"": 0.8913829180140764, ""primary"": 0.6797297297297298, ""lr"": 5e-05, ""dev_primary"": 0.68947}"
re3d,ner,ConfliBERT-2021,123,128,5,16,0.66756,"{""f1_micro"": 0.6675567423230976, ""f1_macro"": 0.5467879313481061, ""precision"": 0.6082725060827251, ""recall"": 0.7396449704142012, ""acc"": 0.8892904698497242, ""primary"": 0.6675567423230976, ""lr"": 8e-05, ""dev_primary"": 0.70588}"
re3d,ner,ConfliBERT-2021,124,128,5,16,0.68929,"{""f1_micro"": 0.6892880904856953, ""f1_macro"": 0.5825898525620288, ""precision"": 0.626360338573156, ""recall"": 0.7662721893491125, ""acc"": 0.8929046984972417, ""primary"": 0.6892880904856953, ""lr"": 8e-05, ""dev_primary"": 0.71883}"
re3d,ner,ConfliBERT-2021,125,128,5,16,0.69548,"{""f1_micro"": 0.6954760297096555, ""f1_macro"": 0.5565449711910335, ""precision"": 0.639751552795031, ""recall"": 0.7618343195266272, ""acc"": 0.8919535856952635, ""primary"": 0.6954760297096555, ""lr"": 8e-05, ""dev_primary"": 0.71802}"
re3d,ner,ConfliBERT-v2-native,123,128,5,16,0.42734,"{""f1_micro"": 0.42733908427339085, ""f1_macro"": 0.22620425488437101, ""precision"": 0.38748495788206977, ""recall"": 0.47633136094674555, ""acc"": 0.8301635602890833, ""primary"": 0.42733908427339085, ""lr"": 2e-05, ""dev_primary"": 0.38961}"
re3d,ner,ConfliBERT-v2-native,123,128,5,16,0.46533,"{""f1_micro"": 0.46532728451069344, ""f1_macro"": 0.2802703718422761, ""precision"": 0.4140715109573241, ""recall"": 0.5310650887573964, ""acc"": 0.8501331304678585, ""primary"": 0.46532728451069344, ""lr"": 3e-05, ""dev_primary"": 0.48971}"
re3d,ner,ConfliBERT-v2-native,123,128,5,16,0.55957,"{""f1_micro"": 0.5595716198125836, ""f1_macro"": 0.4239973659186309, ""precision"": 0.511002444987775, ""recall"": 0.6183431952662722, ""acc"": 0.8585013313046785, ""primary"": 0.5595716198125836, ""lr"": 5e-05, ""dev_primary"": 0.568}"
re3d,ner,ConfliBERT-v2-native,123,128,5,16,0.61194,"{""f1_micro"": 0.6119402985074627, ""f1_macro"": 0.5077893816797409, ""precision"": 0.5651629072681704, ""recall"": 0.6671597633136095, ""acc"": 0.8733358691517688, ""primary"": 0.6119402985074627, ""lr"": 8e-05, ""dev_primary"": 0.6653}"
re3d,ner,ConfliBERT-v2-native,124,128,5,16,0.64411,"{""f1_micro"": 0.6441136671177268, ""f1_macro"": 0.5095605884198449, ""precision"": 0.5935162094763092, ""recall"": 0.7041420118343196, ""acc"": 0.8792316470140737, ""primary"": 0.6441136671177268, ""lr"": 8e-05, ""dev_primary"": 0.64276}"
re3d,ner,ConfliBERT-v2-native,125,128,5,16,0.63029,"{""f1_micro"": 0.6302864938608458, ""f1_macro"": 0.4907007001170706, ""precision"": 0.5848101265822785, ""recall"": 0.6834319526627219, ""acc"": 0.8813236972232789, ""primary"": 0.6302864938608458, ""lr"": 8e-05, ""dev_primary"": 0.65892}"
IndiaPoliceEvents_docs,multilabel,ConfliBERT-2021,123,512,5,16,0.65361,"{""eb_f1"": 0.6536134453781511, ""eb_acc"": 0.6127450980392157, ""eb_prec"": 0.8206018518518517, ""eb_rec"": 0.7142857142857142, ""f1_micro"": 0.75, ""f1_macro"": 0.5503805175038051, ""primary"": 0.6536134453781511, ""lr"": 2e-05, ""dev_primary"": 0.68048}"
IndiaPoliceEvents_docs,multilabel,ConfliBERT-2021,123,512,5,16,0.70069,"{""eb_f1"": 0.7006884681583476, ""eb_acc"": 0.6596385542168675, ""eb_prec"": 0.8391203703703703, ""eb_rec"": 0.7662337662337662, ""f1_micro"": 0.7844827586206896, ""f1_macro"": 0.6347754400530177, ""primary"": 0.7006884681583476, ""lr"": 3e-05, ""dev_primary"": 0.73179}"
IndiaPoliceEvents_docs,multilabel,ConfliBERT-2021,123,512,5,16,0.73837,"{""eb_f1"": 0.7383662408052651, ""eb_acc"": 0.6977642276422764, ""eb_prec"": 0.8548611111111112, ""eb_rec"": 0.8095238095238094, ""f1_micro"": 0.8151260504201681, ""f1_macro"": 0.7393156130864696, ""primary"": 0.7383662408052651, ""lr"": 5e-05, ""dev_primary"": 0.76083}"
IndiaPoliceEvents_docs,multilabel,ConfliBERT-2021,123,512,5,16,0.70443,"{""eb_f1"": 0.7044296788482833, ""eb_acc"": 0.6724806201550387, ""eb_prec"": 0.7889610389610391, ""eb_rec"": 0.8149350649350648, ""f1_micro"": 0.8114754098360656, ""f1_macro"": 0.7280639972175121, ""primary"": 0.7044296788482833, ""lr"": 8e-05, ""dev_primary"": 0.72485}"
IndiaPoliceEvents_docs,multilabel,ConfliBERT-2021,124,512,5,16,0.68946,"{""eb_f1"": 0.6894557823129251, ""eb_acc"": 0.6527777777777777, ""eb_prec"": 0.84375, ""eb_rec"": 0.7543290043290044, ""f1_micro"": 0.7913043478260869, ""f1_macro"": 0.7001143613819669, ""primary"": 0.6894557823129251, ""lr"": 5e-05, ""dev_primary"": 0.75301}"
IndiaPoliceEvents_docs,multilabel,ConfliBERT-2021,125,512,5,16,0.69585,"{""eb_f1"": 0.6958543417366947, ""eb_acc"": 0.6529411764705882, ""eb_prec"": 0.7905405405405406, ""eb_rec"": 0.8181818181818181, ""f1_micro"": 0.7936507936507936, ""f1_macro"": 0.6861439312567132, ""primary"": 0.6958543417366947, ""lr"": 5e-05, ""dev_primary"": 0.76722}"
IndiaPoliceEvents_docs,multilabel,ConfliBERT-v2-native,123,512,5,16,0.61613,"{""eb_f1"": 0.6161344537815125, ""eb_acc"": 0.5792156862745097, ""eb_prec"": 0.8059701492537313, ""eb_rec"": 0.6969696969696969, ""f1_micro"": 0.7433628318584071, ""f1_macro"": 0.6354249933386624, ""primary"": 0.6161344537815125, ""lr"": 2e-05, ""dev_primary"": 0.66521}"
IndiaPoliceEvents_docs,multilabel,ConfliBERT-v2-native,123,512,5,16,0.59804,"{""eb_f1"": 0.5980392156862745, ""eb_acc"": 0.5637254901960784, ""eb_prec"": 0.8, ""eb_rec"": 0.6753246753246753, ""f1_micro"": 0.7232142857142857, ""f1_macro"": 0.6272146512770725, ""primary"": 0.5980392156862745, ""lr"": 3e-05, ""dev_primary"": 0.68565}"
IndiaPoliceEvents_docs,multilabel,ConfliBERT-v2-native,123,512,5,16,0.62479,"{""eb_f1"": 0.6247947454844006, ""eb_acc"": 0.5852490421455938, ""eb_prec"": 0.7777777777777778, ""eb_rec"": 0.7196969696969696, ""f1_micro"": 0.7445887445887446, ""f1_macro"": 0.6564685314685315, ""primary"": 0.6247947454844006, ""lr"": 5e-05, ""dev_primary"": 0.67937}"
IndiaPoliceEvents_docs,multilabel,ConfliBERT-v2-native,123,512,5,16,0.66817,"{""eb_f1"": 0.668167701863354, ""eb_acc"": 0.6275362318840579, ""eb_prec"": 0.7468253968253968, ""eb_rec"": 0.8246753246753246, ""f1_micro"": 0.768, ""f1_macro"": 0.6443714022957184, ""primary"": 0.668167701863354, ""lr"": 8e-05, ""dev_primary"": 0.66962}"
IndiaPoliceEvents_docs,multilabel,ConfliBERT-v2-native,124,512,5,16,0.61637,"{""eb_f1"": 0.6163656267104543, ""eb_acc"": 0.5699233716475095, ""eb_prec"": 0.7374429223744292, ""eb_rec"": 0.7391774891774892, ""f1_micro"": 0.7272727272727273, ""f1_macro"": 0.6313393778564057, ""primary"": 0.6163656267104543, ""lr"": 3e-05, ""dev_primary"": 0.6389}"
IndiaPoliceEvents_docs,multilabel,ConfliBERT-v2-native,125,512,5,16,0.62875,"{""eb_f1"": 0.6287477954144621, ""eb_acc"": 0.5903292181069958, ""eb_prec"": 0.8571428571428571, ""eb_rec"": 0.6525974025974026, ""f1_micro"": 0.7230046948356808, ""f1_macro"": 0.5705349236468782, ""primary"": 0.6287477954144621, ""lr"": 3e-05, ""dev_primary"": 0.63873}"
insightCrime,multilabel,ConfliBERT-2021,123,512,5,8,0.67749,"{""eb_f1"": 0.6774863387978142, ""eb_acc"": 0.6459016393442623, ""eb_prec"": 0.7682926829268293, ""eb_rec"": 0.7057109557109557, ""f1_micro"": 0.6964285714285714, ""f1_macro"": 0.6744773020030251, ""primary"": 0.6774863387978142, ""lr"": 2e-05, ""dev_primary"": 0.6947}"
insightCrime,multilabel,ConfliBERT-2021,123,512,5,8,0.67211,"{""eb_f1"": 0.6721132897603486, ""eb_acc"": 0.6356209150326797, ""eb_prec"": 0.7752613240418118, ""eb_rec"": 0.6993006993006993, ""f1_micro"": 0.6956521739130435, ""f1_macro"": 0.6873285987398978, ""primary"": 0.6721132897603486, ""lr"": 3e-05, ""dev_primary"": 0.72675}"
insightCrime,multilabel,ConfliBERT-2021,123,512,5,8,0.67255,"{""eb_f1"": 0.6725490196078432, ""eb_acc"": 0.636165577342048, ""eb_prec"": 0.7593856655290102, ""eb_rec"": 0.6998834498834499, ""f1_micro"": 0.6933333333333334, ""f1_macro"": 0.6895413218128033, ""primary"": 0.6725490196078432, ""lr"": 5e-05, ""dev_primary"": 0.73178}"
insightCrime,multilabel,ConfliBERT-2021,123,512,5,8,0.68269,"{""eb_f1"": 0.6826881720430107, ""eb_acc"": 0.646774193548387, ""eb_prec"": 0.7475083056478405, ""eb_rec"": 0.7313519813519813, ""f1_micro"": 0.7040229885057471, ""f1_macro"": 0.6878793467080383, ""primary"": 0.6826881720430107, ""lr"": 8e-05, ""dev_primary"": 0.7322}"
