task,model,best_lr,n_seeds,mean_primary,sd_primary
20news,ConfliBERT-2021,5e-05,3,0.79897,0.00451
20news,ConfliBERT-v2-aug-wsd,8e-05,3,0.79222,0.00593
20news,ConfliBERT-v2-native,8e-05,3,0.79158,0.01539
20news,ConfliBERT-v2-wsd,2e-05,3,0.78385,0.01382
20news,ConfliBERT-v2-wsd-5b,3e-05,3,0.79272,0.00695
20news,ConfliBERT-v2-wsd-5b-TAPT,3e-05,3,0.79387,0.02126
20news,ConfliBERT-v2-wsd-TAPT,2e-05,3,0.81872,0.0023
20news,ConfliBERT-v2-wsd-core,3e-05,3,0.80638,0.00398
20news,ModernBERT-base,5e-05,3,0.80489,0.00213
BBC_News,ConfliBERT-2021,3e-05,3,0.98125,0.0002
BBC_News,ConfliBERT-v2-aug-wsd,2e-05,3,0.94554,0.01537
BBC_News,ConfliBERT-v2-native,2e-05,3,0.95268,0.00943
BBC_News,ConfliBERT-v2-wsd,2e-05,3,0.95474,0.01177
BBC_News,ConfliBERT-v2-wsd-5b,2e-05,3,0.94516,0.02094
BBC_News,ConfliBERT-v2-wsd-5b-TAPT,2e-05,3,0.9589,0.01498
BBC_News,ConfliBERT-v2-wsd-TAPT,2e-05,3,0.95677,0.01437
BBC_News,ConfliBERT-v2-wsd-core,2e-05,3,0.94609,0.0143
BBC_News,ModernBERT-base,5e-05,3,0.97807,0.00529
IndiaPoliceEvents_docs,ConfliBERT-2021,5e-05,3,0.70789,0.02659
IndiaPoliceEvents_docs,ConfliBERT-v2-aug-wsd,8e-05,3,0.66265,0.02973
IndiaPoliceEvents_docs,ConfliBERT-v2-native,3e-05,3,0.61439,0.01545
IndiaPoliceEvents_docs,ConfliBERT-v2-wsd,8e-05,3,0.65236,0.02377
IndiaPoliceEvents_docs,ConfliBERT-v2-wsd-5b,5e-05,3,0.64376,0.03657
IndiaPoliceEvents_docs,ConfliBERT-v2-wsd-5b-TAPT,5e-05,3,0.63993,0.00933
IndiaPoliceEvents_docs,ConfliBERT-v2-wsd-TAPT,8e-05,3,0.65997,0.02869
IndiaPoliceEvents_docs,ConfliBERT-v2-wsd-core,2e-05,3,0.61297,0.0465
IndiaPoliceEvents_docs,ModernBERT-base,3e-05,3,0.63107,0.03321
IndiaPoliceEvents_sents,ConfliBERT-2021,2e-05,3,0.66056,0.00666
IndiaPoliceEvents_sents,ConfliBERT-v2-aug-wsd,5e-05,3,0.67131,0.00843
IndiaPoliceEvents_sents,ConfliBERT-v2-native,5e-05,3,0.63867,0.01774
IndiaPoliceEvents_sents,ConfliBERT-v2-wsd,8e-05,3,0.68387,0.01405
IndiaPoliceEvents_sents,ConfliBERT-v2-wsd-5b,5e-05,3,0.68041,0.00194
IndiaPoliceEvents_sents,ConfliBERT-v2-wsd-5b-TAPT,5e-05,3,0.68576,0.00981
IndiaPoliceEvents_sents,ConfliBERT-v2-wsd-TAPT,8e-05,3,0.66781,0.01293
IndiaPoliceEvents_sents,ConfliBERT-v2-wsd-core,5e-05,3,0.67192,0.01567
IndiaPoliceEvents_sents,ModernBERT-base,5e-05,3,0.66591,0.00921
cameo_class,ConfliBERT-2021,5e-05,3,0.89464,0.00405
cameo_class,ConfliBERT-v2-aug-wsd,8e-05,3,0.86665,0.02688
cameo_class,ConfliBERT-v2-native,5e-05,3,0.86243,0.01072
cameo_class,ConfliBERT-v2-wsd,8e-05,3,0.87976,0.00977
cameo_class,ConfliBERT-v2-wsd-5b,8e-05,3,0.84509,0.02844
cameo_class,ConfliBERT-v2-wsd-5b-TAPT,8e-05,3,0.85232,0.00718
cameo_class,ConfliBERT-v2-wsd-TAPT,8e-05,3,0.86885,0.01518
cameo_class,ConfliBERT-v2-wsd-core,8e-05,3,0.86336,0.00605
cameo_class,ModernBERT-base,8e-05,3,0.86954,0.01041
cameo_ner,ConfliBERT-2021,5e-05,3,0.73976,0.01118
cameo_ner,ConfliBERT-v2-aug-wsd,0.00016,3,0.7313,0.01315
