step,tokens_seen,train_loss,eval_loss,eval_ppl,lr,grad_norm,tokens_per_sec,wall_s
25,6553600,1.4446192932128907,,,2.515723270440252e-06,0.6323558688163757,51472.0,127.3
50,13107200,1.426928253173828,,,5.1362683438155135e-06,0.5052173733711243,51709.0,253.5
75,19660800,1.4213958740234376,,,7.756813417190776e-06,0.5033530592918396,51717.4,380.2
100,26214400,1.4111616516113281,,,1.0377358490566038e-05,0.6513182520866394,51692.3,507.1
125,32768000,1.4065802001953125,,,1.29979035639413e-05,0.45191970467567444,51794.2,632.7
150,39321600,1.4015724182128906,,,1.5618448637316562e-05,0.4131949245929718,51809.5,759.0
175,45875200,1.394296875,,,1.8238993710691824e-05,0.36551007628440857,51805.4,885.5
200,52428800,1.3912557983398437,,,2.0859538784067086e-05,0.3739525079727173,51785.1,1012.4
225,58982400,1.3870150756835937,,,2.348008385744235e-05,0.383678138256073,51767.4,1139.4
250,65536000,1.3882958984375,,,2.610062893081761e-05,1.6475924253463745,51825.5,1264.6
275,72089600,1.3872990417480469,,,2.8721174004192875e-05,0.3939911127090454,51824.9,1391.0
300,78643200,1.3829560852050782,,,3.134171907756814e-05,0.4071302115917206,51821.1,1517.6
325,85196800,1.3828994750976562,,,3.39622641509434e-05,0.37645766139030457,51803.9,1644.6
350,91750400,1.3832379150390626,,,3.658280922431866e-05,0.384921669960022,51796.2,1771.4
375,98304000,1.375604248046875,,,3.920335429769392e-05,0.37769854068756104,51833.5,1896.5
400,104857600,1.3697933959960937,,,4.1823899371069185e-05,0.3678732216358185,51831.8,2023.0
425,111411200,1.3782077026367188,,,4.4444444444444447e-05,0.38179832696914673,51829.1,2149.6
450,117964800,1.3735107421875,,,4.706498951781971e-05,0.39548808336257935,51801.9,2277.2
475,124518400,1.3742916870117188,,,4.968553459119497e-05,0.38940903544425964,51584.8,2413.9
500,131072000,1.3704145812988282,,,4.999927256093725e-05,0.36139312386512756,51528.3,2543.7
525,137625600,1.3727980041503907,,,4.9996679989430886e-05,0.39573654532432556,51427.6,2676.1
550,144179200,1.3657269287109375,,,4.99922089534851e-05,0.37707147002220154,51462.0,2801.7
575,150732800,1.3663624572753905,,,4.998585978909179e-05,0.38481682538986206,51483.7,2927.8
600,157286400,1.3659591674804688,,,4.9977632973381506e-05,0.3737229108810425,51496.3,3054.3
625,163840000,1.3669435119628905,,,4.9967529124587574e-05,0.39459118247032166,51507.2,3180.9
650,170393600,1.3637718200683593,,,4.995554900199967e-05,0.37423500418663025,51513.7,3307.7
675,176947200,1.3580276489257812,,,4.994169350590671e-05,0.3829267621040344,51541.4,3433.1
700,183500800,1.3608305358886719,,,4.992596367752923e-05,0.39176973700523376,51545.2,3560.0
725,190054400,1.3577177429199219,,,4.990836069894115e-05,0.383219450712204,51554.0,3686.5
750,196608000,1.361558074951172,,,4.988888589298092e-05,0.38114333152770996,51559.8,3813.2
775,203161600,1.3538142395019532,,,4.986754072315211e-05,0.3955639600753784,51561.7,3940.2
800,209715200,1.3558427429199218,,,4.984432679351343e-05,0.3624543249607086,51581.2,4065.7
825,216268800,1.3597750854492188,,,4.981924584855821e-05,0.3680769205093384,51588.4,4192.2
850,222822400,1.3549623107910156,,,4.9792299773083276e-05,0.3734244406223297,51596.1,4318.6
875,229376000,1.3574740600585937,,,4.976349059204734e-05,0.37841513752937317,51598.5,4445.4
900,235929600,1.353489532470703,,,4.973282047041876e-05,0.3740168511867523,51597.8,4572.5
925,242483200,1.3536058044433594,,,4.970029171301297e-05,0.3677249252796173,51615.4,4697.9
950,249036800,1.348445281982422,,,4.9665906764319134e-05,0.3769899010658264,51625.0,4824.0
975,255590400,1.341707763671875,,,4.962966820831656e-05,0.3861420154571533,51628.1,4950.6
1000,262144000,1.3485791015625,,,4.959157876828043e-05,0.39331233501434326,51626.9,5077.7
1000,262144000,,1.3507314920425415,3.86,,,51290.7,5110.9
1025,268697600,1.3517947387695313,,,4.955164130657723e-05,0.38585832715034485,51270.1,5240.8
1050,275251200,1.3502044677734375,,,4.9509858824449596e-05,0.39643293619155884,51294.3,5366.1
1075,281804800,1.345708465576172,,,4.946623446179076e-05,0.3669210970401764,51307.8,5492.4
1100,288358400,1.3457595825195312,,,4.9420771496908646e-05,0.36367759108543396,51318.9,5619.0
1125,294912000,1.3435240173339844,,,4.937347334627949e-05,0.35130739212036133,51326.9,5745.8
1150,301465600,1.3499993896484375,,,4.932434356429106e-05,0.35911136865615845,51331.7,5872.9
1175,308019200,1.34276123046875,,,4.927338584297562e-05,0.3713792562484741,51348.6,5998.6
1200,314572800,1.34390869140625,,,4.922060401173238e-05,0.37280625104904175,51360.4,6124.8
1225,321126400,1.3471823120117188,,,4.916600203703983e-05,0.4098126292228699,51368.9,6251.4
1250,327680000,1.3364138793945313,,,4.9109584022157594e-05,0.3653944432735443,51333.1,6383.4
1275,334233600,1.3389059448242187,,,4.90513542068181e-05,0.3439328670501709,51232.3,6523.9
1300,340787200,1.3384516906738282,,,4.899131696690796e-05,0.40215227007865906,51162.7,6660.9
1325,347340800,1.339473876953125,,,4.892947681413915e-05,0.3644176125526428,51063.9,6802.1
1350,353894400,1.3396449279785156,,,4.886583839570992e-05,0.37335917353630066,50972.9,6942.8
1375,360448000,1.3408233642578125,,,4.880040649395561e-05,0.37657174468040466,50872.2,7085.4
1400,367001600,1.3411671447753906,,,4.873318602598925e-05,0.3912748694419861,50829.0,7220.3
1425,373555200,1.3377925109863282,,,4.866418204333203e-05,0.36897218227386475,50793.4,7354.4
1450,380108800,1.33420166015625,,,4.859339973153368e-05,0.3567351996898651,50733.6,7492.3
1475,386662400,1.333461456298828,,,4.852084440978284e-05,0.37396925687789917,50685.7,7628.6
1500,393216000,1.3380886840820312,,,4.8446521530507254e-05,0.35899439454078674,50649.2,7763.5
1525,399769600,1.3328041076660155,,,4.837043667896408e-05,0.35633721947669983,50575.8,7904.4
1550,406323200,1.3347760009765626,,,4.8292595572820144e-05,0.3964250683784485,50540.1,8039.6
1575,412876800,1.3352157592773437,,,4.821300406172228e-05,0.3814865052700043,50504.5,8175.1
1600,419430400,1.335189666748047,,,4.813166812685771e-05,0.37488144636154175,50464.8,8311.3
1625,425984000,1.3316659545898437,,,4.804859388050461e-05,0.35357582569122314,50411.8,8450.1
1650,432537600,1.3358096313476562,,,4.7963787565572756e-05,0.3571099042892456,50418.8,8578.9
1675,439091200,1.3298793029785156,,,4.787725555513435e-05,0.373832643032074,50428.3,8707.2
1700,445644800,1.33395751953125,,,4.778900435194514e-05,0.38419193029403687,50442.9,8834.6
1725,452198400,1.3250408935546876,,,4.769904058795573e-05,0.3763880729675293,50465.4,8960.6
1750,458752000,1.334752655029297,,,4.760737102381321e-05,0.3686767816543579,50497.1,9084.7
1775,465305600,1.329305419921875,,,4.751400254835306e-05,0.35642242431640625,50519.4,9210.4
1800,471859200,1.333002166748047,,,4.7418942178081524e-05,0.37039217352867126,50538.0,9336.7
1825,478412800,1.3368434143066406,,,4.732219705664829e-05,0.3647843897342682,50564.9,9461.4
1850,484966400,1.3361239624023438,,,4.722377445430965e-05,0.3711385726928711,50555.4,9592.8
1875,491520000,1.3300631713867188,,,4.712368176738218e-05,0.36623096466064453,50536.5,9726.0
1900,498073600,1.3281558227539063,,,4.702192651768692e-05,0.3817296028137207,50523.5,9858.2
1925,504627200,1.329346923828125,,,4.6918516351984065e-05,0.3960014879703522,50526.1,9987.4
1950,511180800,1.3303781127929688,,,4.6813459041398386e-05,0.35170263051986694,50528.9,10116.6
1975,517734400,1.32612548828125,,,4.670676248083523e-05,0.36628562211990356,50544.5,10243.1
2000,524288000,1.3343698120117187,,,4.659843468838717e-05,0.37438341975212097,50566.5,10368.3
2000,524288000,,1.328905463218689,3.777,,,50405.4,10401.4
2025,530841600,1.3249021911621093,,,4.6488483804731547e-05,0.36199650168418884,50408.6,10530.8
2050,537395200,1.3254373168945313,,,4.637691809251863e-05,0.38028067350387573,50435.6,10655.1
2075,543948800,1.321486358642578,,,4.626374593575076e-05,0.3859635591506958,50453.2,10781.2
2100,550502400,1.3283625793457032,,,4.6148975839152234e-05,0.41244760155677795,50433.0,10915.5
2125,557056000,1.326726837158203,,,4.603261642753023e-05,0.38067951798439026,50368.8,11059.6
2150,563609600,1.3256759643554688,,,4.5914676445126693e-05,0.35828396677970886,50342.3,11195.5
2175,570163200,1.3226150512695312,,,4.5795164754961116e-05,0.3666280508041382,50321.1,11330.5
2200,576716800,1.3249705505371094,,,4.567409033816463e-05,0.3709908127784729,50312.2,11462.8
2225,583270400,1.32699951171875,,,4.555146229330497e-05,0.3832063674926758,50273.2,11602.0
2250,589824000,1.323769073486328,,,4.5427289835702805e-05,0.36683139204978943,50269.6,11733.2
2275,596377600,1.324569091796875,,,4.530158229673917e-05,0.3630325198173523,50228.0,11873.4
2300,602931200,1.3206016540527343,,,4.5174349123154294e-05,0.37498265504837036,50188.2,12013.4
2325,609484800,1.3257135009765626,,,4.504559987633759e-05,0.36342671513557434,50150.0,12153.2
2350,616038400,1.3184707641601563,,,4.491534423160923e-05,0.37762829661369324,50123.5,12290.4
2375,622592000,1.3218943786621093,,,4.478359197749299e-05,0.36415743827819824,50048.8,12439.7
2400,629145600,1.3236787414550781,,,4.465035301498069e-05,0.3374122083187103,49965.8,12591.5
2425,635699200,1.3213676452636718,,,4.4515637356788166e-05,0.35532429814338684,49898.7,12739.8
2450,642252800,1.322654266357422,,,4.437945512660276e-05,0.3936854302883148,49822.9,12890.7
2475,648806400,1.3158578491210937,,,4.424181655832261e-05,0.3657321333885193,49783.8,13032.5
2500,655360000,1.315342254638672,,,4.410273199528756e-05,0.3601231276988983,49755.9,13171.5
2525,661913600,1.321577606201172,,,4.396221188950187e-05,0.36353474855422974,49707.2,13316.2
2550,668467200,1.3193719482421875,,,4.3820266800848765e-05,0.3683336675167084,49678.4,13455.9
2575,675020800,1.3190164184570312,,,4.367690739629688e-05,0.36135050654411316,49645.5,13596.8
2600,681574400,1.31418212890625,,,4.353214444909865e-05,0.386087030172348,49630.8,13732.9
2625,688128000,1.318282928466797,,,4.3385988837980694e-05,0.38130825757980347,49608.0,13871.3
2650,694681600,1.3179339599609374,,,4.3238451546326367e-05,0.3539939820766449,49591.4,14008.1
2675,701235200,1.3164422607421875,,,4.308954366135026e-05,0.38285812735557556,49584.9,14142.1
2700,707788800,1.3154667663574218,,,4.293927637326512e-05,0.34844428300857544,49593.6,14271.8
2725,714342400,1.318324432373047,,,4.278766097444086e-05,0.3591347634792328,49595.1,14403.5
2750,720896000,1.316416015625,,,4.263470885855597e-05,0.37488749623298645,49603.1,14533.3
2775,727449600,1.313676300048828,,,4.2480431519741306e-05,0.3576476275920868,49612.8,14662.6
2800,734003200,1.3147640991210938,,,4.23248405517163e-05,0.36176738142967224,49636.5,14787.6
2825,740556800,1.3163491821289062,,,4.2167947646917736e-05,0.3618796467781067,49653.5,14914.5
2850,747110400,1.3140306091308593,,,4.200976459562108e-05,0.3597809374332428,49670.3,15041.4
2875,753664000,1.3181809997558593,,,4.1850303285054406e-05,0.36487188935279846,49686.4,15168.4
2900,760217600,1.3157051086425782,,,4.168957569850518e-05,0.35194793343544006,49708.1,15293.6
2925,766771200,1.3136602783203124,,,4.1527593914419635e-05,0.36222919821739197,49724.0,15420.6
2950,773324800,1.31162109375,,,4.136437010549518e-05,0.3766386806964874,49739.2,15547.6
2975,779878400,1.3091497802734375,,,4.119991653776557e-05,0.37418946623802185,49761.1,15672.5
3000,786432000,1.314011688232422,,,4.1034245569679155e-05,0.3437257707118988,49775.8,15799.5
3000,786432000,,1.310608983039856,3.708,,,49669.2,15833.4
3025,792985600,1.3103665161132811,,,4.0867369651170195e-05,0.3935692012310028,49672.1,15964.4
3050,799539200,1.3121292114257812,,,4.069930132272321e-05,0.3645457625389099,49687.5,16091.4
