step,tokens_seen,train_loss,eval_loss,eval_ppl,lr,grad_norm,tokens_per_sec,wall_s
25,6553600,1.3423382568359374,,,0.00019748295752490823,0.31583744287490845,25146.7,260.6
50,13107200,1.3446444702148437,,,0.00019486103828002098,0.3245190382003784,24708.7,530.5
75,19660800,1.3309353637695311,,,0.00019223911903513372,0.32572340965270996,24723.0,795.2
100,26214400,1.3232511901855468,,,0.00018961719979024646,0.30365753173828125,24875.6,1053.8
125,32768000,1.3235000610351562,,,0.0001869952805453592,0.36506327986717224,24758.5,1323.5
150,39321600,1.32194580078125,,,0.00018437336130047195,0.31780293583869934,24768.9,1587.5
175,45875200,1.3173641967773437,,,0.0001817514420555847,0.3216553330421448,24671.6,1859.4
200,52428800,1.3184013366699219,,,0.00017912952281069744,0.30976012349128723,24612.2,2130.2
225,58982400,1.3144496154785157,,,0.0001765076035658102,0.30524367094039917,24655.6,2392.3
250,65536000,1.3123873901367187,,,0.00017388568432092293,0.31278613209724426,24575.0,2666.8
250,65536000,,1.2773934602737427,3.587,,,23957.8,2735.5
275,72089600,1.309628448486328,,,0.00017126376507603568,0.2989848256111145,23987.4,3005.3
300,78643200,1.3110189819335938,,,0.00016864184583114842,0.31045013666152954,24171.8,3253.5
325,85196800,1.3102806091308594,,,0.00016601992658626117,0.31772005558013916,24443.3,3485.5
350,91750400,1.30615234375,,,0.00016339800734137388,0.30139344930648804,24694.8,3715.4
375,98304000,1.3111775207519532,,,0.00016077608809648663,0.30270352959632874,24936.3,3942.2
400,104857600,1.3072622680664063,,,0.00015815416885159937,0.3149453401565552,25096.2,4178.2
425,111411200,1.293043212890625,,,0.00015553224960671212,0.29491549730300903,25464.4,4375.2
450,117964800,1.3052865600585937,,,0.00015291033036182486,0.30989205837249756,25724.3,4585.7
475,124518400,1.300470428466797,,,0.0001502884111169376,0.2909715473651886,26010.4,4787.3
500,131072000,1.29635009765625,,,0.00014766649187205035,0.29527369141578674,26248.6,4993.5
500,131072000,,1.278228521347046,3.59,,,25947.1,5051.5
525,137625600,1.2941659545898438,,,0.0001450445726271631,0.30544883012771606,26125.4,5267.9
550,144179200,1.2925447082519532,,,0.00014242265338227584,0.3148491084575653,26313.4,5479.3
575,150732800,1.2920552062988282,,,0.00013980073413738859,0.3258078396320343,26495.6,5689.0
600,157286400,1.2966905212402344,,,0.00013717881489250133,0.3179904520511627,26670.6,5897.4
625,163840000,1.2939581298828124,,,0.00013455689564761408,0.31143900752067566,26690.5,6138.5
650,170393600,1.2945460510253906,,,0.00013193497640272682,0.29629966616630554,26544.5,6419.2
675,176947200,1.2895094299316405,,,0.00012931305715783954,0.3123324513435364,26414.3,6698.9
700,183500800,1.290650634765625,,,0.00012669113791295228,0.2913191020488739,26334.4,6968.1
725,190054400,1.2861817932128907,,,0.00012406921866806503,0.28876107931137085,26278.3,7232.4
750,196608000,1.2819483947753907,,,0.00012144729942317776,0.2947632968425751,26219.0,7498.7
750,196608000,,1.2716437578201294,3.567,,,25998.2,7562.4
775,203161600,1.2837669372558593,,,0.0001188253801782905,0.2922653257846832,25952.1,7828.3
800,209715200,1.280498046875,,,0.00011620346093340325,0.30548378825187683,25908.0,8094.6
825,216268800,1.286695556640625,,,0.000113581541688516,0.2930459976196289,25870.3,8359.7
850,222822400,1.2812652587890625,,,0.00011095962244362874,0.30302855372428894,25810.6,8633.0
875,229376000,1.2851960754394531,,,0.00010833770319874148,0.30066362023353577,25734.9,8913.0
900,235929600,1.2823799133300782,,,0.00010571578395385424,0.29438069462776184,25695.5,9181.8
925,242483200,1.2717518615722656,,,0.00010309386470896698,0.28312116861343384,25619.1,9464.9
950,249036800,1.2791712188720703,,,0.00010047194546407972,0.3054112493991852,25539.1,9751.2
975,255590400,1.2777862548828125,,,9.785002621919246e-05,0.29004332423210144,25507.1,10020.4
1000,262144000,1.2800296020507813,,,9.52281069743052e-05,0.2953898012638092,25475.2,10290.2
1000,262144000,,1.2697290182113647,3.56,,,25302.0,10360.6
1025,268697600,1.2758690643310546,,,9.260618772941794e-05,0.30280762910842896,25275.1,10630.9
1050,275251200,1.2733519744873047,,,8.998426848453068e-05,0.3112514913082123,25236.7,10906.8
1075,281804800,1.2732615661621094,,,8.736234923964341e-05,0.28648582100868225,25202.4,11181.7
1100,288358400,1.2700633239746093,,,8.474042999475618e-05,0.31026479601860046,25195.2,11445.0
1125,294912000,1.27325439453125,,,8.211851074986891e-05,0.2912449538707733,25155.7,11723.5
1150,301465600,1.2683941650390624,,,7.949659150498166e-05,0.28761518001556396,25130.0,11996.2
1175,308019200,1.266663818359375,,,7.687467226009439e-05,0.2934921979904175,25111.1,12266.3
1200,314572800,1.269419174194336,,,7.425275301520713e-05,0.29900452494621277,25097.1,12534.2
1225,321126400,1.2613744354248047,,,7.163083377031987e-05,0.3011314272880554,25105.4,12791.1
1250,327680000,1.2722062683105468,,,6.900891452543261e-05,0.28457531332969666,25106.8,13051.5
1250,327680000,,1.263144612312317,3.537,,,24981.4,13117.0
1275,334233600,1.2615901184082032,,,6.638699528054537e-05,0.28357449173927307,24971.2,13384.8
1300,340787200,1.2596153259277343,,,6.376507603565811e-05,0.3012816905975342,24984.5,13640.0
1325,347340800,1.2634420776367188,,,6.114315679077084e-05,0.2943355143070221,24977.3,13906.3
1350,353894400,1.261093521118164,,,5.852123754588359e-05,0.2979143261909485,24965.3,14175.4
1375,360448000,1.260279769897461,,,5.589931830099633e-05,0.29475846886634827,24959.2,14441.5
1400,367001600,1.264166030883789,,,5.3277399056109065e-05,0.2769787311553955,24940.7,14715.0
1425,373555200,1.2640298461914063,,,5.065547981122181e-05,0.3077215552330017,24959.6,14966.4
1450,380108800,1.2634392547607423,,,4.803356056633457e-05,0.3022322654724121,24804.1,15324.5
1475,386662400,1.2551406860351562,,,4.5411641321447306e-05,0.2931448221206665,24653.4,15683.9
1500,393216000,1.262492446899414,,,4.2789722076560043e-05,0.29343971610069275,24520.4,16036.3
1500,393216000,,1.2541708946228027,3.505,,,24393.0,16120.1
1525,399769600,1.260581283569336,,,4.016780283167279e-05,0.29799142479896545,24273.5,16469.4
1550,406323200,1.259578857421875,,,3.7545883586785526e-05,0.2784430980682373,24176.2,16806.7
1575,412876800,1.2582614135742187,,,3.4923964341898264e-05,0.2962607741355896,24089.8,17139.1
1600,419430400,1.253428955078125,,,3.230204509701102e-05,0.29112768173217773,24022.1,17460.2
1625,425984000,1.2513970947265625,,,2.9680125852123763e-05,0.30113014578819275,23939.2,17794.4
1650,432537600,1.2586283111572265,,,2.70582066072365e-05,0.29940056800842285,23854.3,18132.5
