step,tokens_seen,train_loss,eval_loss,eval_ppl,lr,grad_norm,tokens_per_sec,wall_s
25,6553600,1.4324830627441407,,,1.672473867595819e-05,0.4948505163192749,50323.9,130.2
50,13107200,1.4070138549804687,,,3.414634146341464e-05,0.44341596961021423,50573.0,259.2
75,19660800,1.3996932983398438,,,5.156794425087108e-05,0.4171920120716095,49170.3,399.9
100,26214400,1.3895449829101563,,,6.898954703832753e-05,0.3899497091770172,49297.2,531.8
125,32768000,1.3859669494628906,,,8.641114982578398e-05,0.3918992877006531,49125.7,667.0
150,39321600,1.3831405639648438,,,0.00010383275261324041,0.39097917079925537,49193.5,799.3
175,45875200,1.3775637817382813,,,0.00012125435540069687,0.36755475401878357,49319.6,930.2
200,52428800,1.37572021484375,,,0.0001386759581881533,0.38302773237228394,49294.8,1063.6
225,58982400,1.3735226440429686,,,0.00015609756097560978,0.37184417247772217,49352.8,1195.1
250,65536000,1.378379364013672,,,0.0001735191637630662,0.3892512321472168,49394.6,1326.8
275,72089600,1.3794491577148438,,,0.00019094076655052267,0.4003605544567108,49289.9,1462.6
300,78643200,1.3780906677246094,,,0.0002,0.3742111027240753,49102.0,1601.6
325,85196800,1.3788768005371095,,,0.0002,0.3713998794555664,48996.2,1738.8
350,91750400,1.3792024230957032,,,0.0002,0.39780181646347046,48884.6,1876.9
375,98304000,1.3702975463867189,,,0.0002,0.36810797452926636,48911.6,2009.8
400,104857600,1.3644021606445313,,,0.0002,0.39111536741256714,48795.3,2148.9
425,111411200,1.3729135131835937,,,0.0002,0.376661092042923,48717.5,2286.9
450,117964800,1.3676553344726563,,,0.0002,0.4043356776237488,48633.0,2425.6
475,124518400,1.3695870971679687,,,0.0002,0.37363165616989136,48563.5,2564.0
500,131072000,1.3653231811523439,,,0.0002,0.39577245712280273,48457.5,2704.9
525,137625600,1.36775146484375,,,0.0002,0.40752336382865906,47368.5,2905.4
550,144179200,1.3604148864746093,,,0.0002,0.37288182973861694,44696.9,3225.7
575,150732800,1.3611375427246093,,,0.0002,0.37087154388427734,44729.4,3369.9
600,157286400,1.3602293395996095,,,0.0002,0.376668781042099,44844.7,3507.4
625,163840000,1.3606126403808594,,,0.0002,0.3809286057949066,44788.3,3658.1
650,170393600,1.3570870971679687,,,0.0002,0.3666500449180603,44384.1,3839.1
675,176947200,1.3521229553222656,,,0.0002,0.3620523512363434,43936.4,4027.3
700,183500800,1.3541255187988281,,,0.0002,0.35789409279823303,43406.9,4227.5
725,190054400,1.3512356567382813,,,0.0002,0.37159621715545654,42236.7,4499.7
750,196608000,1.3556082153320312,,,0.0002,0.3677147924900055,41126.4,4780.6
775,203161600,1.3467575073242188,,,0.0002,0.40526920557022095,40172.4,5057.2
800,209715200,1.3492538452148437,,,0.0002,0.3598599433898926,39421.6,5319.8
825,216268800,1.3535234069824218,,,0.0002,0.34914466738700867,38772.3,5577.9
850,222822400,1.3478419494628906,,,0.0002,0.3557186424732208,38164.8,5838.4
875,229376000,1.350955047607422,,,0.0002,0.3595501482486725,37612.5,6098.4
900,235929600,1.3466464233398439,,,0.0002,0.3586248457431793,37040.6,6369.5
925,242483200,1.3471241760253907,,,0.0002,0.34627795219421387,36547.9,6634.7
950,249036800,1.341671905517578,,,0.0002,0.35536596179008484,36046.4,6908.8
975,255590400,1.3350872802734375,,,0.0002,0.35058799386024475,35725.2,7154.3
1000,262144000,1.3406153869628907,,,0.0002,0.3604455888271332,35547.4,7374.5
1000,262144000,,1.3450652360916138,3.838,,,35257.2,7435.2
1025,268697600,1.34455810546875,,,0.0002,0.3618636131286621,35043.1,7667.6
