task,task_type,model,seed,seq_len,epochs,bsz,primary,metrics_json
satp_relevant,multilabel,ConfliBERT-v2-native,123,256,5,16,0.87225,"{""eb_f1"": 0.8722460658082976, ""eb_acc"": 0.8376251788268957, ""eb_prec"": 0.8948497854077253, ""eb_rec"": 0.8812589413447783, ""f1_micro"": 0.8507462686567164, ""f1_macro"": 0.830186258788701, ""primary"": 0.8722460658082976}"
satp_relevant,multilabel,ConfliBERT-v2-native,124,256,5,16,0.87024,"{""eb_f1"": 0.8702432045779684, ""eb_acc"": 0.8340486409155937, ""eb_prec"": 0.8919885550786839, ""eb_rec"": 0.8834048640915594, ""f1_micro"": 0.8513011152416357, ""f1_macro"": 0.8301344410408737, ""primary"": 0.8702432045779684}"
satp_relevant,multilabel,ConfliBERT-v2-native,125,256,5,16,0.85551,"{""eb_f1"": 0.8555078683834048, ""eb_acc"": 0.823319027181688, ""eb_prec"": 0.8726752503576537, ""eb_rec"": 0.8705293276108728, ""f1_micro"": 0.837037037037037, ""f1_macro"": 0.8218729810201832, ""primary"": 0.8555078683834048}"
IndiaPoliceEvents_sents,multilabel,ConfliBERT-v2-native,123,128,5,16,0.63526,"{""eb_f1"": 0.6352631578947369, ""eb_acc"": 0.6267543859649123, ""eb_prec"": 0.8396118721461187, ""eb_rec"": 0.7016520894071914, ""f1_micro"": 0.7865707434052758, ""f1_macro"": 0.7414606078614427, ""primary"": 0.6352631578947369}"
IndiaPoliceEvents_sents,multilabel,ConfliBERT-v2-native,124,128,5,16,0.65082,"{""eb_f1"": 0.6508182601205857, ""eb_acc"": 0.6442721791559001, ""eb_prec"": 0.8289760348583878, ""eb_rec"": 0.7356656948493684, ""f1_micro"": 0.8, ""f1_macro"": 0.7589388120839734, ""primary"": 0.6508182601205857}"
IndiaPoliceEvents_sents,multilabel,ConfliBERT-v2-native,125,128,5,16,0.62798,"{""eb_f1"": 0.6279761904761905, ""eb_acc"": 0.6177721088435374, ""eb_prec"": 0.7976570820021299, ""eb_rec"": 0.717687074829932, ""f1_micro"": 0.7762237762237763, ""f1_macro"": 0.7171510624372097, ""primary"": 0.6279761904761905}"
IndiaPoliceEvents_docs,multilabel,ConfliBERT-v2-native,123,512,5,16,0.58322,"{""eb_f1"": 0.5832225913621263, ""eb_acc"": 0.5494186046511628, ""eb_prec"": 0.7828282828282828, ""eb_rec"": 0.6634199134199135, ""f1_micro"": 0.7111111111111111, ""f1_macro"": 0.6260279570498548, ""primary"": 0.5832225913621263}"
IndiaPoliceEvents_docs,multilabel,ConfliBERT-v2-native,124,512,5,16,0.64559,"{""eb_f1"": 0.6455938697318007, ""eb_acc"": 0.6053639846743295, ""eb_prec"": 0.7815315315315314, ""eb_rec"": 0.7467532467532466, ""f1_micro"": 0.7639484978540773, ""f1_macro"": 0.6794511732867897, ""primary"": 0.6455938697318007}"
IndiaPoliceEvents_docs,multilabel,ConfliBERT-v2-native,125,512,5,16,0.62276,"{""eb_f1"": 0.6227642276422763, ""eb_acc"": 0.5873983739837398, ""eb_prec"": 0.8518518518518519, ""eb_rec"": 0.6623376623376623, ""f1_micro"": 0.7255813953488373, ""f1_macro"": 0.6061311237781826, ""primary"": 0.6227642276422763}"
insightCrime,multilabel,ConfliBERT-v2-native,123,512,5,8,0.66623,"{""eb_f1"": 0.6662337662337662, ""eb_acc"": 0.6204004329004328, ""eb_prec"": 0.7265981735159818, ""eb_rec"": 0.7383449883449883, ""f1_micro"": 0.6963788300835655, ""f1_macro"": 0.7013047720269023, ""primary"": 0.6662337662337662}"
