task,task_type,model,seed,seq_len,epochs,bsz,primary,metrics_json
satp_relevant,multilabel,ConfliBERT,123,256,5,16,0.89399,"{""eb_f1"": 0.8939914163090129, ""eb_acc"": 0.869098712446352, ""eb_prec"": 0.927038626609442, ""eb_rec"": 0.8848354792560801, ""f1_micro"": 0.8812260536398467, ""f1_macro"": 0.8596321561650029, ""primary"": 0.8939914163090129}"
satp_relevant,multilabel,ConfliBERT,124,256,5,16,0.89041,"{""eb_f1"": 0.8904148783977109, ""eb_acc"": 0.8640915593705294, ""eb_prec"": 0.9184549356223176, ""eb_rec"": 0.8869814020028612, ""f1_micro"": 0.8766603415559773, ""f1_macro"": 0.8575804179261453, ""primary"": 0.8904148783977109}"
satp_relevant,multilabel,ConfliBERT,125,256,5,16,0.89971,"{""eb_f1"": 0.8997138769670958, ""eb_acc"": 0.8733905579399142, ""eb_prec"": 0.924892703862661, ""eb_rec"": 0.8998569384835479, ""f1_micro"": 0.8867924528301887, ""f1_macro"": 0.8665495422055758, ""primary"": 0.8997138769670958}"
satp_relevant,multilabel,ModernBERT-base,123,256,5,16,0.87082,"{""eb_f1"": 0.8708154506437767, ""eb_acc"": 0.8412017167381974, ""eb_prec"": 0.8919885550786839, ""eb_rec"": 0.8762517882689556, ""f1_micro"": 0.8560747663551402, ""f1_macro"": 0.8453761698323647, ""primary"": 0.8708154506437767}"
satp_relevant,multilabel,ModernBERT-base,124,256,5,16,0.86896,"{""eb_f1"": 0.8689556509298998, ""eb_acc"": 0.8404864091559371, ""eb_prec"": 0.8927038626609443, ""eb_rec"": 0.8719599427753935, ""f1_micro"": 0.8571428571428571, ""f1_macro"": 0.8433521991792668, ""primary"": 0.8689556509298998}"
satp_relevant,multilabel,ModernBERT-base,125,256,5,16,0.86466,"{""eb_f1"": 0.8646638054363375, ""eb_acc"": 0.8340486409155937, ""eb_prec"": 0.8855507868383405, ""eb_rec"": 0.8741058655221746, ""f1_micro"": 0.8507462686567164, ""f1_macro"": 0.8233289255431442, ""primary"": 0.8646638054363375}"
satp_relevant,multilabel,ConfliBERT-v2,123,256,5,16,0.88455,"{""eb_f1"": 0.884549356223176, ""eb_acc"": 0.8555078683834048, ""eb_prec"": 0.9098712446351931, ""eb_rec"": 0.8869814020028612, ""f1_micro"": 0.868421052631579, ""f1_macro"": 0.8483223879476405, ""primary"": 0.884549356223176}"
satp_relevant,multilabel,ConfliBERT-v2,124,256,5,16,0.88484,"{""eb_f1"": 0.8848354792560801, ""eb_acc"": 0.84620886981402, ""eb_prec"": 0.9044540229885057, ""eb_rec"": 0.9070100143061517, ""f1_micro"": 0.8639705882352942, ""f1_macro"": 0.85068307417705, ""primary"": 0.8848354792560801}"
satp_relevant,multilabel,ConfliBERT-v2,125,256,5,16,0.86753,"{""eb_f1"": 0.8675250357653791, ""eb_acc"": 0.8297567954220315, ""eb_prec"": 0.8862660944206009, ""eb_rec"": 0.8848354792560801, ""f1_micro"": 0.8481481481481481, ""f1_macro"": 0.8156045735491537, ""primary"": 0.8675250357653791}"
IndiaPoliceEvents_sents,multilabel,ConfliBERT,123,128,5,16,0.6527,"{""eb_f1"": 0.6526992287917737, ""eb_acc"": 0.6461011139674379, ""eb_prec"": 0.8215053763440859, ""eb_rec"": 0.7444120505344994, ""f1_micro"": 0.8013937282229965, ""f1_macro"": 0.7615805849037225, ""primary"": 0.6526992287917737}"
IndiaPoliceEvents_sents,multilabel,ConfliBERT,124,128,5,16,0.66675,"{""eb_f1"": 0.6667502088554721, ""eb_acc"": 0.6578947368421053, ""eb_prec"": 0.8043912175648702, ""eb_rec"": 0.7769679300291545, ""f1_micro"": 0.8063063063063063, ""f1_macro"": 0.7617812014071926, ""primary"": 0.6667502088554721}"
