task,task_type,model,seed,seq_len,epochs,bsz,primary,metrics_json
satp_relevant,multilabel,ConfliBERT-v2-wsd,123,256,5,16,0.87954,"{""eb_f1"": 0.8795422031473534, ""eb_acc"": 0.8462088698140201, ""eb_prec"": 0.9066091954022989, ""eb_rec"": 0.8876967095851216, ""f1_micro"": 0.8614232209737828, ""f1_macro"": 0.8421186523297033, ""primary"": 0.8795422031473534, ""lr"": 3e-05}"
satp_relevant,multilabel,ConfliBERT-v2-wsd,124,256,5,16,0.86123,"{""eb_f1"": 0.8612303290414879, ""eb_acc"": 0.8283261802575107, ""eb_prec"": 0.8884120171673819, ""eb_rec"": 0.8640915593705294, ""f1_micro"": 0.8415094339622642, ""f1_macro"": 0.8225217443107351, ""primary"": 0.8612303290414879, ""lr"": 3e-05}"
satp_relevant,multilabel,ConfliBERT-v2-wsd,125,256,5,16,0.86338,"{""eb_f1"": 0.8633762517882689, ""eb_acc"": 0.824749642346209, ""eb_prec"": 0.8900862068965517, ""eb_rec"": 0.876967095851216, ""f1_micro"": 0.8432835820895522, ""f1_macro"": 0.822517217630854, ""primary"": 0.8633762517882689, ""lr"": 3e-05}"
IndiaPoliceEvents_sents,multilabel,ConfliBERT-v2-wsd,123,128,5,16,0.65822,"{""eb_f1"": 0.6582222222222224, ""eb_acc"": 0.6511111111111111, ""eb_prec"": 0.8662053056516724, ""eb_rec"": 0.716715257531584, ""f1_micro"": 0.8053204353083434, ""f1_macro"": 0.7498200617967482, ""primary"": 0.6582222222222224, ""lr"": 3e-05}"
IndiaPoliceEvents_sents,multilabel,ConfliBERT-v2-wsd,124,128,5,16,0.66745,"{""eb_f1"": 0.667449956483899, ""eb_acc"": 0.6588337684943428, ""eb_prec"": 0.8463626492942455, ""eb_rec"": 0.7419825072886297, ""f1_micro"": 0.807556080283353, ""f1_macro"": 0.7546768919514788, ""primary"": 0.667449956483899, ""lr"": 3e-05}"
IndiaPoliceEvents_sents,multilabel,ConfliBERT-v2-wsd,125,128,5,16,0.64634,"{""eb_f1"": 0.646343537414966, ""eb_acc"": 0.639030612244898, ""eb_prec"": 0.8132275132275131, ""eb_rec"": 0.738581146744412, ""f1_micro"": 0.7967479674796748, ""f1_macro"": 0.7485465425737405, ""primary"": 0.646343537414966, ""lr"": 3e-05}"
IndiaPoliceEvents_docs,multilabel,ConfliBERT-v2-wsd,123,512,5,16,0.60476,"{""eb_f1"": 0.6047619047619047, ""eb_acc"": 0.564484126984127, ""eb_prec"": 0.808080808080808, ""eb_rec"": 0.6699134199134199, ""f1_micro"": 0.7239819004524887, ""f1_macro"": 0.6169220151828847, ""primary"": 0.6047619047619047, ""lr"": 3e-05}"
IndiaPoliceEvents_docs,multilabel,ConfliBERT-v2-wsd,124,512,5,16,0.61236,"{""eb_f1"": 0.6123595505617977, ""eb_acc"": 0.5749063670411985, ""eb_prec"": 0.7657657657657657, ""eb_rec"": 0.7164502164502164, ""f1_micro"": 0.7381974248927039, ""f1_macro"": 0.6487405590631397, ""primary"": 0.6123595505617977, ""lr"": 3e-05}"
IndiaPoliceEvents_docs,multilabel,ConfliBERT-v2-wsd,125,512,5,16,0.61784,"{""eb_f1"": 0.6178427997705106, ""eb_acc"": 0.5823293172690763, ""eb_prec"": 0.8723958333333333, ""eb_rec"": 0.6406926406926408, ""f1_micro"": 0.7272727272727273, ""f1_macro"": 0.5950565176951984, ""primary"": 0.6178427997705106, ""lr"": 3e-05}"
insightCrime,multilabel,ConfliBERT-v2-wsd,123,512,5,8,0.66984,"{""eb_f1"": 0.6698360655737705, ""eb_acc"": 0.6295081967213115, ""eb_prec"": 0.7473867595818815, ""eb_rec"": 0.7185314685314685, ""f1_micro"": 0.6952789699570815, ""f1_macro"": 0.696120182256759, ""primary"": 0.6698360655737705, ""lr"": 3e-05}"
insightCrime,multilabel,ConfliBERT-v2-wsd,124,512,5,8,0.64123,"{""eb_f1"": 0.6412280701754386, ""eb_acc"": 0.599780701754386, ""eb_prec"": 0.7379227053140096, ""eb_rec"": 0.6923076923076923, ""f1_micro"": 0.6801152737752162, ""f1_macro"": 0.6769437002339016, ""primary"": 0.6412280701754386, ""lr"": 3e-05}"
insightCrime,multilabel,ConfliBERT-v2-wsd,125,512,5,8,0.6683,"{""eb_f1"": 0.6683006535947712, ""eb_acc"": 0.6263616557734204, ""eb_prec"": 0.7535211267605634, ""eb_rec"": 0.7237762237762237, ""f1_micro"": 0.7001434720229556, ""f1_macro"": 0.7005668612486078, ""primary"": 0.6683006535947712, ""lr"": 3e-05}"
cameo_class,multiclass,ConfliBERT-v2-wsd,123,256,5,16,0.84269,"{""acc"": 0.8514412416851441, ""f1_micro"": 0.8514412416851441, ""f1_macro"": 0.8426926876289385, ""primary"": 0.8426926876289385, ""lr"": 3e-05}"
cameo_class,multiclass,ConfliBERT-v2-wsd,124,256,5,16,0.84564,"{""acc"": 0.8558758314855875, ""f1_micro"": 0.8558758314855875, ""f1_macro"": 0.8456432368634974, ""primary"": 0.8456432368634974, ""lr"": 3e-05}"
cameo_class,multiclass,ConfliBERT-v2-wsd,125,256,5,16,0.843,"{""acc"": 0.8536585365853658, ""f1_micro"": 0.8536585365853658, ""f1_macro"": 0.8430046467382578, ""primary"": 0.8430046467382578, ""lr"": 3e-05}"
BBC_News,binary,ConfliBERT-v2-wsd,123,512,5,16,0.97196,"{""acc"": 0.9906832298136646, ""f1_micro"": 0.9906832298136646, ""f1_macro"": 0.9831880123218295, ""f1"": 0.9719626168224299, ""mcc"": 0.9664373110919018, ""primary"": 0.9719626168224299, ""lr"": 3e-05}"
BBC_News,binary,ConfliBERT-v2-wsd,124,512,5,16,0.9434,"{""acc"": 0.9813664596273292, ""f1_micro"": 0.9813664596273292, ""f1_macro"": 0.9661219050291086, ""f1"": 0.9433962264150944, ""mcc"": 0.932243810058217, ""primary"": 0.9433962264150944, ""lr"": 3e-05}"
BBC_News,binary,ConfliBERT-v2-wsd,125,512,5,16,0.96078,"{""acc"": 0.9875776397515528, ""f1_micro"": 0.9875776397515528, ""f1_macro"": 0.9767021199623761, ""f1"": 0.9607843137254902, ""mcc"": 0.9544538226972246, ""primary"": 0.9607843137254902, ""lr"": 3e-05}"
re3d,ner,ConfliBERT-v2-wsd,123,128,5,16,0.44866,"{""f1_micro"": 0.4486592544146501, ""f1_macro"": 0.24282877201449066, ""precision"": 0.40211019929660025, ""recall"": 0.507396449704142, ""acc"": 0.8273107645492582, ""primary"": 0.4486592544146501, ""lr"": 3e-05}"
re3d,ner,ConfliBERT-v2-wsd,124,128,5,16,0.52328,"{""f1_micro"": 0.5232786885245901, ""f1_macro"": 0.3423540809740617, ""precision"": 0.46996466431095407, ""recall"": 0.5902366863905325, ""acc"": 0.8429060479269684, ""primary"": 0.5232786885245901, ""lr"": 3e-05}"
re3d,ner,ConfliBERT-v2-wsd,125,128,5,16,0.57467,"{""f1_micro"": 0.5746666666666668, ""f1_macro"": 0.3772605361488096, ""precision"": 0.5230582524271845, ""recall"": 0.6375739644970414, ""acc"": 0.8628756181057436, ""primary"": 0.5746666666666668, ""lr"": 3e-05}"
