doc_id,tokenizer,label,doc_tokens,n_evidence_sents,first_evidence_tok,last_evidence_tok
27,ConfliBERT-2021,ARREST,272,2,38,91
27,ConfliBERT-2021,FORCE,272,1,107,107
27,ConfliBERT-2021,ANY_ACTION,272,6,1,226
33,ConfliBERT-2021,KILL,781,2,363,376
33,ConfliBERT-2021,FORCE,781,2,363,376
33,ConfliBERT-2021,ANY_ACTION,781,8,1,536
20,ConfliBERT-2021,ARREST,240,3,3,132
20,ConfliBERT-2021,ANY_ACTION,240,6,3,150
4,ConfliBERT-2021,ANY_ACTION,245,2,1,35
17,ConfliBERT-2021,ANY_ACTION,471,4,27,260
26,ConfliBERT-2021,FORCE,479,1,252,252
26,ConfliBERT-2021,ANY_ACTION,479,6,41,366
48,ConfliBERT-2021,FAIL,389,4,66,318
48,ConfliBERT-2021,ANY_ACTION,389,4,1,318
55,ConfliBERT-2021,FAIL,526,1,195,195
55,ConfliBERT-2021,ANY_ACTION,526,2,248,264
59,ConfliBERT-2021,ANY_ACTION,434,12,1,391
70,ConfliBERT-2021,ANY_ACTION,417,8,67,388
82,ConfliBERT-2021,KILL,812,1,440,440
82,ConfliBERT-2021,ARREST,812,4,237,695
82,ConfliBERT-2021,FORCE,812,3,440,632
82,ConfliBERT-2021,ANY_ACTION,812,13,237,796
86,ConfliBERT-2021,FORCE,274,2,1,45
86,ConfliBERT-2021,ANY_ACTION,274,3,1,134
93,ConfliBERT-2021,ARREST,332,1,53,53
93,ConfliBERT-2021,ANY_ACTION,332,1,53,53
104,ConfliBERT-2021,ANY_ACTION,744,4,233,688
132,ConfliBERT-2021,FORCE,465,1,391,391
132,ConfliBERT-2021,ANY_ACTION,465,3,246,391
136,ConfliBERT-2021,ANY_ACTION,118,3,50,90
137,ConfliBERT-2021,ANY_ACTION,681,8,35,399
35,ConfliBERT-2021,ANY_ACTION,519,2,215,255
38,ConfliBERT-2021,ANY_ACTION,421,6,160,312
39,ConfliBERT-2021,FAIL,546,3,154,483
39,ConfliBERT-2021,FORCE,546,2,1,35
39,ConfliBERT-2021,ANY_ACTION,546,7,1,483
41,ConfliBERT-2021,ARREST,476,5,54,215
41,ConfliBERT-2021,ANY_ACTION,476,8,54,298
154,ConfliBERT-2021,FAIL,287,1,150,150
156,ConfliBERT-2021,ANY_ACTION,1096,1,992,992
157,ConfliBERT-2021,FAIL,793,1,403,403
157,ConfliBERT-2021,ANY_ACTION,793,1,704,704
42,ConfliBERT-2021,ARREST,311,1,199,199
42,ConfliBERT-2021,ANY_ACTION,311,6,85,277
2,ConfliBERT-2021,FAIL,357,3,218,304
15,ConfliBERT-2021,ANY_ACTION,365,3,4,307
22,ConfliBERT-2021,FAIL,394,3,179,220
22,ConfliBERT-2021,ANY_ACTION,394,2,9,108
28,ConfliBERT-2021,ANY_ACTION,454,3,95,266
171,ConfliBERT-2021,FORCE,177,2,38,84
171,ConfliBERT-2021,ANY_ACTION,177,4,3,121
176,ConfliBERT-2021,FAIL,546,1,310,310
192,ConfliBERT-2021,ANY_ACTION,881,5,320,729
194,ConfliBERT-2021,ANY_ACTION,348,3,190,248
203,ConfliBERT-2021,ANY_ACTION,102,2,12,73
50,ConfliBERT-2021,KILL,790,1,456,456
50,ConfliBERT-2021,ARREST,790,2,606,660
50,ConfliBERT-2021,FAIL,790,1,500,500
50,ConfliBERT-2021,FORCE,790,1,456,456
50,ConfliBERT-2021,ANY_ACTION,790,15,145,767
211,ConfliBERT-2021,ARREST,659,1,187,187
211,ConfliBERT-2021,ANY_ACTION,659,12,1,513
56,ConfliBERT-2021,FORCE,333,1,206,206
