config,label,gold,pred_count_mean,pred_count_sd,recall_mean,recall_sd,precision_mean,precision_sd
ConfliBERT-2021-win@win512,ANY_ACTION,457,473.3,7.0,0.8979,0.0132,0.8669,0.0002
ConfliBERT-2021-win@win512,ARREST,128,131,1.0,0.8828,0.0078,0.8626,0.0071
ConfliBERT-2021-win@win512,FAIL,114,89.7,9.6,0.4006,0.0514,0.5119,0.0754
ConfliBERT-2021-win@win512,FORCE,90,81,2.6,0.8259,0.0257,0.918,0.0243
ConfliBERT-2021-win@win512,KILL,50,54.7,1.5,0.8333,0.0231,0.763,0.0424
ConfliBERT-2021@512,ANY_ACTION,457,455.3,6.7,0.8665,0.0044,0.8698,0.0085
ConfliBERT-2021@512,ARREST,128,126.3,3.2,0.849,0.018,0.8603,0.0176
ConfliBERT-2021@512,FAIL,114,77.7,12.4,0.3626,0.0681,0.5309,0.0269
ConfliBERT-2021@512,FORCE,90,72,2.6,0.7148,0.0231,0.8939,0.0302
ConfliBERT-2021@512,KILL,50,51.3,1.5,0.82,0.0,0.7992,0.0236
ConfliBERT-v2@2048,ANY_ACTION,457,443.7,2.1,0.8549,0.0033,0.8805,0.0035
ConfliBERT-v2@2048,ARREST,128,109.3,1.5,0.75,0.0078,0.8781,0.0037
ConfliBERT-v2@2048,FAIL,114,79.7,19.8,0.2953,0.09,0.4189,0.0232
ConfliBERT-v2@2048,FORCE,90,76,5.2,0.7593,0.0449,0.9,0.0392
ConfliBERT-v2@2048,KILL,50,40,4.6,0.7067,0.0987,0.8821,0.033
ConfliBERT-v2@512,ANY_ACTION,457,438.3,12.6,0.8257,0.0139,0.8611,0.0127
ConfliBERT-v2@512,ARREST,128,108,10.4,0.7057,0.0565,0.8374,0.0148
ConfliBERT-v2@512,FAIL,114,60,24.8,0.2222,0.1072,0.4122,0.0407
ConfliBERT-v2@512,FORCE,90,71.3,1.5,0.6333,0.0401,0.7994,0.0555
ConfliBERT-v2@512,KILL,50,34,7.5,0.5333,0.0702,0.8001,0.1234
GPT-5.6,ANY_ACTION,457,429,0.0,0.8403,0.0,0.8951,0.0
GPT-5.6,ARREST,128,123,0.0,0.8828,0.0,0.9187,0.0
GPT-5.6,FAIL,114,94,0.0,0.5877,0.0,0.7128,0.0
GPT-5.6,FORCE,90,88,0.0,0.8333,0.0,0.8523,0.0
GPT-5.6,KILL,50,46,0.0,0.9,0.0,0.9783,0.0
ModernBERT-base@2048,ANY_ACTION,457,442.7,8.5,0.8497,0.0108,0.8773,0.0085
ModernBERT-base@2048,ARREST,128,110.3,8.5,0.7422,0.0547,0.8612,0.0037
ModernBERT-base@2048,FAIL,114,68,10.8,0.2485,0.0564,0.4134,0.0335
ModernBERT-base@2048,FORCE,90,68,2.6,0.6259,0.0339,0.8283,0.024
ModernBERT-base@2048,KILL,50,36.3,2.1,0.56,0.1,0.7672,0.0964
