label,config,count_range_across_seeds,count_range_across_configs
KILL,ConfliBERT-2021-win@win512,3,
KILL,ConfliBERT-2021@512,3,
KILL,ConfliBERT-v2@2048,9,
KILL,ConfliBERT-v2@512,15,
KILL,ModernBERT-base@2048,4,
KILL,ALL_CONFIGS,,20.7
ARREST,ConfliBERT-2021-win@win512,2,
ARREST,ConfliBERT-2021@512,6,
ARREST,ConfliBERT-v2@2048,3,
ARREST,ConfliBERT-v2@512,19,
ARREST,ModernBERT-base@2048,16,
ARREST,ALL_CONFIGS,,23
FAIL,ConfliBERT-2021-win@win512,19,
FAIL,ConfliBERT-2021@512,22,
FAIL,ConfliBERT-v2@2048,39,
FAIL,ConfliBERT-v2@512,47,
FAIL,ModernBERT-base@2048,21,
FAIL,ALL_CONFIGS,,29.7
FORCE,ConfliBERT-2021-win@win512,5,
FORCE,ConfliBERT-2021@512,5,
FORCE,ConfliBERT-v2@2048,9,
FORCE,ConfliBERT-v2@512,3,
FORCE,ModernBERT-base@2048,5,
FORCE,ALL_CONFIGS,,13
ANY_ACTION,ConfliBERT-2021-win@win512,14,
ANY_ACTION,ConfliBERT-2021@512,13,
ANY_ACTION,ConfliBERT-v2@2048,4,
ANY_ACTION,ConfliBERT-v2@512,25,
ANY_ACTION,ModernBERT-base@2048,17,
ANY_ACTION,ALL_CONFIGS,,35.0
