task,model,lr,test_primary,dev_primary
re3d,ConfliBERT-2021,2e-05,0.60976,0.61592
re3d,ConfliBERT-2021,3e-05,0.63563,0.66667
re3d,ConfliBERT-2021,5e-05,0.67973,0.68947
re3d,ConfliBERT-2021,8e-05,0.66756,0.70588
re3d,ConfliBERT-v2-native,2e-05,0.42734,0.38961
re3d,ConfliBERT-v2-native,3e-05,0.46533,0.48971
re3d,ConfliBERT-v2-native,5e-05,0.55957,0.568
re3d,ConfliBERT-v2-native,8e-05,0.61194,0.6653
IndiaPoliceEvents_docs,ConfliBERT-2021,2e-05,0.65361,0.68048
IndiaPoliceEvents_docs,ConfliBERT-2021,3e-05,0.70069,0.73179
IndiaPoliceEvents_docs,ConfliBERT-2021,5e-05,0.73837,0.76083
IndiaPoliceEvents_docs,ConfliBERT-2021,8e-05,0.70443,0.72485
IndiaPoliceEvents_docs,ConfliBERT-v2-native,2e-05,0.61613,0.66521
IndiaPoliceEvents_docs,ConfliBERT-v2-native,3e-05,0.59804,0.68565
IndiaPoliceEvents_docs,ConfliBERT-v2-native,5e-05,0.62479,0.67937
IndiaPoliceEvents_docs,ConfliBERT-v2-native,8e-05,0.66817,0.66962
insightCrime,ConfliBERT-2021,2e-05,0.67749,0.6947
insightCrime,ConfliBERT-2021,3e-05,0.67211,0.72675
insightCrime,ConfliBERT-2021,5e-05,0.67255,0.73178
insightCrime,ConfliBERT-2021,8e-05,0.68269,0.7322
insightCrime,ConfliBERT-v2-native,2e-05,0.66612,0.68923
insightCrime,ConfliBERT-v2-native,3e-05,0.66418,0.69949
insightCrime,ConfliBERT-v2-native,5e-05,0.66057,0.71135
insightCrime,ConfliBERT-v2-native,8e-05,0.70252,0.70412
satp_relevant,ConfliBERT-2021,2e-05,0.89256,0.90216
satp_relevant,ConfliBERT-2021,3e-05,0.89685,0.90273
satp_relevant,ConfliBERT-2021,5e-05,0.8917,0.90273
satp_relevant,ConfliBERT-2021,8e-05,0.88312,0.89842
satp_relevant,ConfliBERT-v2-native,2e-05,0.86753,0.88836
satp_relevant,ConfliBERT-v2-native,3e-05,0.8774,0.90072
satp_relevant,ConfliBERT-v2-native,5e-05,0.87539,0.90431
satp_relevant,ConfliBERT-v2-native,8e-05,0.88684,0.90417
cameo_class,ConfliBERT-2021,2e-05,0.8495,0.97381
cameo_class,ConfliBERT-2021,3e-05,0.85736,0.97402
cameo_class,ConfliBERT-2021,5e-05,0.89881,0.98939
cameo_class,ConfliBERT-2021,8e-05,0.87655,0.98912
cameo_class,ConfliBERT-v2-native,2e-05,0.71605,0.89125
cameo_class,ConfliBERT-v2-native,3e-05,0.80674,0.95016
cameo_class,ConfliBERT-v2-native,5e-05,0.85033,0.98461
cameo_class,ConfliBERT-v2-native,8e-05,0.86173,0.98026
cameo_ner,ConfliBERT-2021,2e-05,0.64382,0.67989
cameo_ner,ConfliBERT-2021,3e-05,0.7227,0.73504
cameo_ner,ConfliBERT-2021,5e-05,0.74188,0.75771
cameo_ner,ConfliBERT-2021,8e-05,0.74087,0.75362
cameo_ner,ConfliBERT-v2-native,2e-05,0.41943,0.49845
cameo_ner,ConfliBERT-v2-native,3e-05,0.47582,0.54618
cameo_ner,ConfliBERT-v2-native,5e-05,0.5861,0.65116
cameo_ner,ConfliBERT-v2-native,8e-05,0.62069,0.67638
IndiaPoliceEvents_sents,ConfliBERT-2021,2e-05,0.6537,0.62162
IndiaPoliceEvents_sents,ConfliBERT-2021,3e-05,0.64651,0.59552
IndiaPoliceEvents_sents,ConfliBERT-2021,5e-05,0.65607,0.595
IndiaPoliceEvents_sents,ConfliBERT-2021,8e-05,0.6159,0.57256
IndiaPoliceEvents_sents,ConfliBERT-v2-native,2e-05,0.64987,0.58335
IndiaPoliceEvents_sents,ConfliBERT-v2-native,3e-05,0.65729,0.58984
IndiaPoliceEvents_sents,ConfliBERT-v2-native,5e-05,0.64741,0.60237
IndiaPoliceEvents_sents,ConfliBERT-v2-native,8e-05,0.59362,0.57089
20news,ConfliBERT-2021,2e-05,0.81271,0.81603
20news,ConfliBERT-2021,3e-05,0.80484,0.82418
20news,ConfliBERT-2021,5e-05,0.80314,0.82918
20news,ConfliBERT-2021,8e-05,0.78812,0.82883
20news,ConfliBERT-v2-native,2e-05,0.79797,0.81091
20news,ConfliBERT-v2-native,3e-05,0.8006,0.8177
20news,ConfliBERT-v2-native,5e-05,0.78398,0.82143
20news,ConfliBERT-v2-native,8e-05,0.79346,0.82523
BBC_News,ConfliBERT-2021,2e-05,0.92982,0.99225
BBC_News,ConfliBERT-2021,3e-05,0.98113,1.0
BBC_News,ConfliBERT-2021,5e-05,0.98148,0.99225
BBC_News,ConfliBERT-2021,8e-05,0.98148,0.99213
BBC_News,ConfliBERT-v2-native,2e-05,0.96226,0.98438
BBC_News,ConfliBERT-v2-native,3e-05,0.96296,0.98438
BBC_News,ConfliBERT-v2-native,5e-05,0.97143,0.97674
BBC_News,ConfliBERT-v2-native,8e-05,0.96226,0.98413
