task,task_type,model,seed,seq_len,epochs,bsz,primary,metrics_json
cameo_ner,ner,ModernBERT-base-psfix,123,128,5,16,0.70925,"{""f1_micro"": 0.709251101321586, ""f1_macro"": 0.6540324949870894, ""precision"": 0.6939655172413793, ""recall"": 0.7252252252252253, ""acc"": 0.9195538279533547, ""primary"": 0.709251101321586, ""lr"": 8e-05, ""dev_primary"": 0.73128}"
cameo_ner,ner,ModernBERT-base-psfix,124,128,5,16,0.68653,"{""f1_micro"": 0.6865342163355408, ""f1_macro"": 0.6263665799367731, ""precision"": 0.6731601731601732, ""recall"": 0.7004504504504504, ""acc"": 0.9154977184383979, ""primary"": 0.6865342163355408, ""lr"": 8e-05, ""dev_primary"": 0.76488}"
cameo_ner,ner,ModernBERT-base-psfix,125,128,5,16,0.66179,"{""f1_micro"": 0.6617895329206528, ""f1_macro"": 0.6115794491955465, ""precision"": 0.6614173228346457, ""recall"": 0.6621621621621622, ""acc"": 0.9073009971269225, ""primary"": 0.6617895329206528, ""lr"": 8e-05, ""dev_primary"": 0.7284}"
re3d,ner,ModernBERT-base-psfix,123,128,5,16,0.64655,"{""f1_micro"": 0.6465459423205903, ""f1_macro"": 0.5066157990730139, ""precision"": 0.5914110429447853, ""recall"": 0.7130177514792899, ""acc"": 0.8874096614682389, ""primary"": 0.6465459423205903, ""lr"": 8e-05, ""dev_primary"": 0.6846}"
re3d,ner,ModernBERT-base-psfix,124,128,5,16,0.67973,"{""f1_micro"": 0.6797297297297298, ""f1_macro"": 0.5533744760944053, ""precision"": 0.6256218905472637, ""recall"": 0.7440828402366864, ""acc"": 0.8849372384937239, ""primary"": 0.6797297297297298, ""lr"": 8e-05, ""dev_primary"": 0.68947}"
re3d,ner,ModernBERT-base-psfix,125,128,5,16,0.65718,"{""f1_micro"": 0.6571815718157181, ""f1_macro"": 0.5443143305335301, ""precision"": 0.60625, ""recall"": 0.7174556213017751, ""acc"": 0.8845568657284139, ""primary"": 0.6571815718157181, ""lr"": 8e-05, ""dev_primary"": 0.66847}"
cameo_ner,ner,ModernBERT-base-psfix,123,128,5,16,0.7255,"{""f1_micro"": 0.7255014326647565, ""f1_macro"": 0.6654077155639456, ""precision"": 0.7386231038506418, ""recall"": 0.7128378378378378, ""acc"": 0.9193848233902315, ""primary"": 0.7255014326647565, ""lr"": 0.00016, ""dev_primary"": 0.7519}"
cameo_ner,ner,ModernBERT-base-psfix,124,128,5,16,0.73962,"{""f1_micro"": 0.7396184062850729, ""f1_macro"": 0.6693769058427961, ""precision"": 0.7371364653243848, ""recall"": 0.7421171171171171, ""acc"": 0.9249619739732973, ""primary"": 0.7396184062850729, ""lr"": 0.00016, ""dev_primary"": 0.76162}"
cameo_ner,ner,ModernBERT-base-psfix,125,128,5,16,0.72546,"{""f1_micro"": 0.7254575707154742, ""f1_macro"": 0.6669572022948144, ""precision"": 0.7147540983606557, ""recall"": 0.7364864864864865, ""acc"": 0.923947946594558, ""primary"": 0.7254575707154742, ""lr"": 0.00016, ""dev_primary"": 0.75923}"
re3d,ner,ModernBERT-base-psfix,123,128,5,16,0.69536,"{""f1_micro"": 0.6953551912568307, ""f1_macro"": 0.5946348610714004, ""precision"": 0.6459390862944162, ""recall"": 0.7529585798816568, ""acc"": 0.892354507417269, ""primary"": 0.6953551912568307, ""lr"": 0.00016, ""dev_primary"": 0.71205}"
re3d,ner,ModernBERT-base-psfix,124,128,5,16,0.69357,"{""f1_micro"": 0.6935704514363886, ""f1_macro"": 0.5781802697035957, ""precision"": 0.6450381679389313, ""recall"": 0.75, ""acc"": 0.892164321034614, ""primary"": 0.6935704514363886, ""lr"": 0.00016, ""dev_primary"": 0.69913}"
re3d,ner,ModernBERT-base-psfix,125,128,5,16,0.66621,"{""f1_micro"": 0.666214382632293, ""f1_macro"": 0.5664883172306079, ""precision"": 0.6152882205513784, ""recall"": 0.7263313609467456, ""acc"": 0.891023202738684, ""primary"": 0.666214382632293, ""lr"": 0.00016, ""dev_primary"": 0.68877}"
cameo_ner,ner,ModernBERT-base-hiLR,123,128,5,16,0.67985,"{""f1_micro"": 0.6798462383305875, ""f1_macro"": 0.5675276818669386, ""precision"": 0.6634512325830654, ""recall"": 0.6970720720720721, ""acc"": 0.9125401385837417, ""primary"": 0.6798462383305875, ""lr"": 0.00016, ""dev_primary"": 0.74074}"
cameo_ner,ner,ModernBERT-base-hiLR,124,128,5,16,0.70252,"{""f1_micro"": 0.7025210084033614, ""f1_macro"": 0.6177328132632899, ""precision"": 0.6989966555183946, ""recall"": 0.706081081081081, ""acc"": 0.914821700185905, ""primary"": 0.7025210084033614, ""lr"": 0.00016, ""dev_primary"": 0.74622}"
cameo_ner,ner,ModernBERT-base-hiLR,125,128,5,16,0.68719,"{""f1_micro"": 0.6871852266368215, ""f1_macro"": 0.6245758521797983, ""precision"": 0.6829810901001112, ""recall"": 0.6914414414414415, ""acc"": 0.9130471522731114, ""primary"": 0.6871852266368215, ""lr"": 0.00016, ""dev_primary"": 0.74433}"
re3d,ner,ModernBERT-base-hiLR,123,128,5,16,0.66532,"{""f1_micro"": 0.6653225806451614, ""f1_macro"": 0.5456759041941317, ""precision"": 0.6096059113300493, ""recall"": 0.7322485207100592, ""acc"": 0.8856979840243439, ""primary"": 0.6653225806451614, ""lr"": 0.00016, ""dev_primary"": 0.70643}"
re3d,ner,ModernBERT-base-hiLR,124,128,5,16,0.66845,"{""f1_micro"": 0.6684527796383121, ""f1_macro"": 0.5524619222806648, ""precision"": 0.6107711138310894, ""recall"": 0.7381656804733728, ""acc"": 0.8836059338151389, ""primary"": 0.6684527796383121, ""lr"": 0.00016, ""dev_primary"": 0.67751}"
re3d,ner,ModernBERT-base-hiLR,125,128,5,16,0.65934,"{""f1_micro"": 0.6593406593406593, ""f1_macro"": 0.5614813576930553, ""precision"": 0.6153846153846154, ""recall"": 0.7100591715976331, ""acc"": 0.8839863065804489, ""primary"": 0.6593406593406593, ""lr"": 0.00016, ""dev_primary"": 0.68033}"
cameo_ner,ner,ConfliBERT-v2-wsd-psfix,123,128,5,16,0.67093,"{""f1_micro"": 0.6709265175718849, ""f1_macro"": 0.6124972669583201, ""precision"": 0.6363636363636364, ""recall"": 0.7094594594594594, ""acc"": 0.914399188778097, ""primary"": 0.6709265175718849, ""lr"": 8e-05, ""dev_primary"": 0.7234}"
cameo_ner,ner,ConfliBERT-v2-wsd-psfix,124,128,5,16,0.70337,"{""f1_micro"": 0.7033671833244254, ""f1_macro"": 0.6509513747019277, ""precision"": 0.669379450661241, ""recall"": 0.740990990990991, ""acc"": 0.9257224945073517, ""primary"": 0.7033671833244254, ""lr"": 8e-05, ""dev_primary"": 0.73699}"
cameo_ner,ner,ConfliBERT-v2-wsd-psfix,125,128,5,16,0.71311,"{""f1_micro"": 0.7131102578167856, ""f1_macro"": 0.6381566835184342, ""precision"": 0.6951871657754011, ""recall"": 0.7319819819819819, ""acc"": 0.9244549602839277, ""primary"": 0.7131102578167856, ""lr"": 8e-05, ""dev_primary"": 0.72359}"
cameo_ner,ner,ConfliBERT-v2-wsd-psfix,123,128,5,16,0.74111,"{""f1_micro"": 0.7411111111111112, ""f1_macro"": 0.6709706891004941, ""precision"": 0.731359649122807, ""recall"": 0.7511261261261262, ""acc"": 0.9262295081967213, ""primary"": 0.7411111111111112, ""lr"": 0.00016, ""dev_primary"": 0.75902}"
cameo_ner,ner,ConfliBERT-v2-wsd-psfix,124,128,5,16,0.7419,"{""f1_micro"": 0.741899441340782, ""f1_macro"": 0.6398538697216408, ""precision"": 0.7361419068736141, ""recall"": 0.7477477477477478, ""acc"": 0.927581544701707, ""primary"": 0.741899441340782, ""lr"": 0.00016, ""dev_primary"": 0.74777}"
cameo_ner,ner,ConfliBERT-v2-wsd-psfix,125,128,5,16,0.73673,"{""f1_micro"": 0.7367268746579091, ""f1_macro"": 0.673801286202861, ""precision"": 0.7167199148029819, ""recall"": 0.7578828828828829, ""acc"": 0.9300321108669934, ""primary"": 0.7367268746579091, ""lr"": 0.00016, ""dev_primary"": 0.7812}"
re3d,ner,ConfliBERT-v2-wsd-psfix,123,128,5,16,0.64738,"{""f1_micro"": 0.6473755047106325, ""f1_macro"": 0.5514110185128693, ""precision"": 0.5938271604938271, ""recall"": 0.7115384615384616, ""acc"": 0.8870292887029289, ""primary"": 0.6473755047106325, ""lr"": 8e-05, ""dev_primary"": 0.6572}"
re3d,ner,ConfliBERT-v2-wsd-psfix,124,128,5,16,0.66266,"{""f1_micro"": 0.6626586506346025, ""f1_macro"": 0.5225984887874707, ""precision"": 0.6041412911084044, ""recall"": 0.7337278106508875, ""acc"": 0.890833016356029, ""primary"": 0.6626586506346025, ""lr"": 8e-05, ""dev_primary"": 0.66844}"
re3d,ner,ConfliBERT-v2-wsd-psfix,125,128,5,16,0.64682,"{""f1_micro"": 0.6468200270635994, ""f1_macro"": 0.5371092823387869, ""precision"": 0.5960099750623441, ""recall"": 0.7071005917159763, ""acc"": 0.8841764929631039, ""primary"": 0.6468200270635994, ""lr"": 8e-05, ""dev_primary"": 0.65377}"
re3d,ner,ConfliBERT-v2-wsd-psfix,123,128,5,16,0.68332,"{""f1_micro"": 0.6833220796758948, ""f1_macro"": 0.5635637469960152, ""precision"": 0.6285714285714286, ""recall"": 0.7485207100591716, ""acc"": 0.8896918980600989, ""primary"": 0.6833220796758948, ""lr"": 0.00016, ""dev_primary"": 0.6875}"
re3d,ner,ConfliBERT-v2-wsd-psfix,124,128,5,16,0.68598,"{""f1_micro"": 0.6859838274932615, ""f1_macro"": 0.5746859414487477, ""precision"": 0.629950495049505, ""recall"": 0.7529585798816568, ""acc"": 0.8900722708254089, ""primary"": 0.6859838274932615, ""lr"": 0.00016, ""dev_primary"": 0.68383}"
re3d,ner,ConfliBERT-v2-wsd-psfix,125,128,5,16,0.67835,"{""f1_micro"": 0.6783546864463924, ""f1_macro"": 0.5819240236097996, ""precision"": 0.6232961586121437, ""recall"": 0.7440828402366864, ""acc"": 0.891403575503994, ""primary"": 0.6783546864463924, ""lr"": 0.00016, ""dev_primary"": 0.68905}"
