task,task_type,model,seed,seq_len,epochs,bsz,primary,metrics_json
IndiaPoliceEvents_docs,multilabel,ConfliBERT-v2,123,512,5,16,0.61219,"{""eb_f1"": 0.61218820861678, ""eb_acc"": 0.5724206349206349, ""eb_prec"": 0.7979797979797979, ""eb_rec"": 0.6872294372294372, ""f1_micro"": 0.7345132743362832, ""f1_macro"": 0.6071301247771836, ""primary"": 0.61218820861678}"
IndiaPoliceEvents_docs,multilabel,ConfliBERT-v2,124,512,5,16,0.62519,"{""eb_f1"": 0.6251937984496124, ""eb_acc"": 0.5901162790697674, ""eb_prec"": 0.8260869565217391, ""eb_rec"": 0.6958874458874459, ""f1_micro"": 0.7454545454545455, ""f1_macro"": 0.6395502792777746, ""primary"": 0.6251937984496124}"
IndiaPoliceEvents_docs,multilabel,ConfliBERT-v2,123,1024,5,16,0.6498,"{""eb_f1"": 0.6498039215686274, ""eb_acc"": 0.6117647058823529, ""eb_prec"": 0.8078703703703703, ""eb_rec"": 0.7207792207792207, ""f1_micro"": 0.7631578947368421, ""f1_macro"": 0.6841116130246564, ""primary"": 0.6498039215686274}"
IndiaPoliceEvents_docs,multilabel,ConfliBERT-v2,124,1024,5,16,0.66913,"{""eb_f1"": 0.6691326530612244, ""eb_acc"": 0.6311507936507936, ""eb_prec"": 0.8228571428571428, ""eb_rec"": 0.7543290043290044, ""f1_micro"": 0.7863247863247863, ""f1_macro"": 0.6978132978132978, ""primary"": 0.6691326530612244}"
IndiaPoliceEvents_docs,multilabel,ConfliBERT-v2,123,2048,5,16,0.65892,"{""eb_f1"": 0.6589213998852553, ""eb_acc"": 0.6194779116465863, ""eb_prec"": 0.8504901960784313, ""eb_rec"": 0.7088744588744589, ""f1_micro"": 0.7601809954751131, ""f1_macro"": 0.6531175059952038, ""primary"": 0.6589213998852553}"
IndiaPoliceEvents_docs,multilabel,ConfliBERT-v2,124,2048,5,16,0.732,"{""eb_f1"": 0.7319976771196283, ""eb_acc"": 0.6991869918699187, ""eb_prec"": 0.8697183098591549, ""eb_rec"": 0.7857142857142856, ""f1_micro"": 0.8275862068965517, ""f1_macro"": 0.7587801992974408, ""primary"": 0.7319976771196283}"
IndiaPoliceEvents_docs,multilabel,ModernBERT-base,123,512,5,16,0.65382,"{""eb_f1"": 0.6538152610441766, ""eb_acc"": 0.6204819277108434, ""eb_prec"": 0.8233830845771144, ""eb_rec"": 0.7251082251082251, ""f1_micro"": 0.7665198237885462, ""f1_macro"": 0.6767477446614137, ""primary"": 0.6538152610441766}"
IndiaPoliceEvents_docs,multilabel,ModernBERT-base,124,512,5,16,0.64253,"{""eb_f1"": 0.6425287356321838, ""eb_acc"": 0.6082375478927203, ""eb_prec"": 0.776255707762557, ""eb_rec"": 0.7499999999999999, ""f1_micro"": 0.7413793103448276, ""f1_macro"": 0.6338708688404429, ""primary"": 0.6425287356321838}"
IndiaPoliceEvents_docs,multilabel,ModernBERT-base,123,1024,5,16,0.70624,"{""eb_f1"": 0.7062358276643991, ""eb_acc"": 0.6686507936507936, ""eb_prec"": 0.8515981735159817, ""eb_rec"": 0.7694805194805194, ""f1_micro"": 0.8051948051948052, ""f1_macro"": 0.7132183908045977, ""primary"": 0.7062358276643991}"
IndiaPoliceEvents_docs,multilabel,ModernBERT-base,124,1024,5,16,0.67198,"{""eb_f1"": 0.6719822812846068, ""eb_acc"": 0.631782945736434, ""eb_prec"": 0.8108108108108109, ""eb_rec"": 0.7651515151515151, ""f1_micro"": 0.7829787234042553, ""f1_macro"": 0.6730788177339901, ""primary"": 0.6719822812846068}"
IndiaPoliceEvents_docs,multilabel,ModernBERT-base,123,2048,5,16,0.67831,"{""eb_f1"": 0.6783132530120481, ""eb_acc"": 0.639558232931727, ""eb_prec"": 0.8502415458937198, ""eb_rec"": 0.7402597402597402, ""f1_micro"": 0.7913043478260869, ""f1_macro"": 0.6932737350259253, ""primary"": 0.6783132530120481}"
IndiaPoliceEvents_docs,multilabel,ModernBERT-base,124,2048,5,16,0.66527,"{""eb_f1"": 0.665266106442577, ""eb_acc"": 0.6284313725490196, ""eb_prec"": 0.8159722222222222, ""eb_rec"": 0.7435064935064936, ""f1_micro"": 0.7672413793103449, ""f1_macro"": 0.6788059163059164, ""primary"": 0.665266106442577}"
insightCrime,multilabel,ConfliBERT-v2,123,512,5,8,0.67364,"{""eb_f1"": 0.6736383442265795, ""eb_acc"": 0.6274509803921569, ""eb_prec"": 0.7445589919816724, ""eb_rec"": 0.7284382284382284, ""f1_micro"": 0.6949152542372882, ""f1_macro"": 0.691677230475579, ""primary"": 0.6736383442265795}"
insightCrime,multilabel,ConfliBERT-v2,124,512,5,8,0.64641,"{""eb_f1"": 0.64640522875817, ""eb_acc"": 0.6062091503267973, ""eb_prec"": 0.7419354838709677, ""eb_rec"": 0.701048951048951, ""f1_micro"": 0.6848920863309352, ""f1_macro"": 0.6926572383339301, ""primary"": 0.64640522875817}"
