task,task_type,model,seed,seq_len,epochs,bsz,primary,metrics_json
IndiaPoliceEvents_docs,multilabel,ConfliBERT-v2-native,123,512,5,16,0.58322,"{""eb_f1"": 0.5832225913621263, ""eb_acc"": 0.5494186046511628, ""eb_prec"": 0.7828282828282828, ""eb_rec"": 0.6634199134199135, ""f1_micro"": 0.7111111111111111, ""f1_macro"": 0.6260279570498548, ""primary"": 0.5832225913621263}"
IndiaPoliceEvents_docs,multilabel,ConfliBERT-v2-native,124,512,5,16,0.64559,"{""eb_f1"": 0.6455938697318007, ""eb_acc"": 0.6053639846743295, ""eb_prec"": 0.7815315315315314, ""eb_rec"": 0.7467532467532466, ""f1_micro"": 0.7639484978540773, ""f1_macro"": 0.6794511732867897, ""primary"": 0.6455938697318007}"
IndiaPoliceEvents_docs,multilabel,ConfliBERT-v2-native,123,1024,5,16,0.63218,"{""eb_f1"": 0.632183908045977, ""eb_acc"": 0.592911877394636, ""eb_prec"": 0.7702702702702703, ""eb_rec"": 0.7294372294372294, ""f1_micro"": 0.7542372881355932, ""f1_macro"": 0.6631171319102354, ""primary"": 0.632183908045977}"
IndiaPoliceEvents_docs,multilabel,ConfliBERT-v2-native,124,1024,5,16,0.69286,"{""eb_f1"": 0.6928571428571428, ""eb_acc"": 0.6557539682539683, ""eb_prec"": 0.8287671232876712, ""eb_rec"": 0.7597402597402596, ""f1_micro"": 0.782608695652174, ""f1_macro"": 0.6788565986793224, ""primary"": 0.6928571428571428}"
IndiaPoliceEvents_docs,multilabel,ConfliBERT-v2-native,123,2048,5,16,0.62698,"{""eb_f1"": 0.626984126984127, ""eb_acc"": 0.5843253968253969, ""eb_prec"": 0.785024154589372, ""eb_rec"": 0.711038961038961, ""f1_micro"": 0.7489361702127659, ""f1_macro"": 0.6596280222404559, ""primary"": 0.626984126984127}"
IndiaPoliceEvents_docs,multilabel,ConfliBERT-v2-native,124,2048,5,16,0.66035,"{""eb_f1"": 0.6603543743078627, ""eb_acc"": 0.6153100775193798, ""eb_prec"": 0.8198198198198198, ""eb_rec"": 0.7348484848484848, ""f1_micro"": 0.7665198237885462, ""f1_macro"": 0.6420098474172278, ""primary"": 0.6603543743078627}"
insightCrime,multilabel,ConfliBERT-v2-native,123,512,5,8,0.67752,"{""eb_f1"": 0.6775219298245613, ""eb_acc"": 0.6304824561403508, ""eb_prec"": 0.7422145328719724, ""eb_rec"": 0.7371794871794871, ""f1_micro"": 0.6976090014064698, ""f1_macro"": 0.7003618677563315, ""primary"": 0.6775219298245613}"
insightCrime,multilabel,ConfliBERT-v2-native,124,512,5,8,0.65607,"{""eb_f1"": 0.6560655737704919, ""eb_acc"": 0.6163934426229508, ""eb_prec"": 0.7341549295774648, ""eb_rec"": 0.708041958041958, ""f1_micro"": 0.6857142857142857, ""f1_macro"": 0.6833565002670497, ""primary"": 0.6560655737704919}"
insightCrime,multilabel,ConfliBERT-v2-native,123,1024,5,8,0.67625,"{""eb_f1"": 0.6762527233115468, ""eb_acc"": 0.6296296296296297, ""eb_prec"": 0.7416953035509736, ""eb_rec"": 0.7383449883449884, ""f1_micro"": 0.700139470013947, ""f1_macro"": 0.6968186486417228, ""primary"": 0.6762527233115468}"
insightCrime,multilabel,ConfliBERT-v2-native,124,1024,5,8,0.65076,"{""eb_f1"": 0.6507575757575758, ""eb_acc"": 0.6082251082251081, ""eb_prec"": 0.7301038062283737, ""eb_rec"": 0.7086247086247087, ""f1_micro"": 0.6817538896746818, ""f1_macro"": 0.669988690234493, ""primary"": 0.6507575757575758}"
insightCrime,multilabel,ConfliBERT-v2-native,123,2048,5,8,0.66044,"{""eb_f1"": 0.6604371584699453, ""eb_acc"": 0.6153005464480874, ""eb_prec"": 0.7365967365967366, ""eb_rec"": 0.7179487179487178, ""f1_micro"": 0.6891701828410689, ""f1_macro"": 0.6949428862137866, ""primary"": 0.6604371584699453}"
insightCrime,multilabel,ConfliBERT-v2-native,124,2048,5,8,0.64528,"{""eb_f1"": 0.6452768729641692, ""eb_acc"": 0.6074918566775245, ""eb_prec"": 0.7160278745644599, ""eb_rec"": 0.7027972027972028, ""f1_micro"": 0.6817538896746818, ""f1_macro"": 0.6991825736929694, ""primary"": 0.6452768729641692}"
