task,task_type,model,seed,seq_len,epochs,bsz,primary,metrics_json
IndiaPoliceEvents_docs,multilabel,ConfliBERT-v2-wsd,123,512,5,16,0.60476,"{""eb_f1"": 0.6047619047619047, ""eb_acc"": 0.564484126984127, ""eb_prec"": 0.808080808080808, ""eb_rec"": 0.6699134199134199, ""f1_micro"": 0.7239819004524887, ""f1_macro"": 0.6169220151828847, ""primary"": 0.6047619047619047, ""lr"": 3e-05}"
IndiaPoliceEvents_docs,multilabel,ConfliBERT-v2-wsd,124,512,5,16,0.61236,"{""eb_f1"": 0.6123595505617977, ""eb_acc"": 0.5749063670411985, ""eb_prec"": 0.7657657657657657, ""eb_rec"": 0.7164502164502164, ""f1_micro"": 0.7381974248927039, ""f1_macro"": 0.6487405590631397, ""primary"": 0.6123595505617977, ""lr"": 3e-05}"
IndiaPoliceEvents_docs,multilabel,ConfliBERT-v2-wsd,123,1024,5,16,0.67885,"{""eb_f1"": 0.6788548752834467, ""eb_acc"": 0.6378968253968255, ""eb_prec"": 0.84037558685446, ""eb_rec"": 0.7478354978354977, ""f1_micro"": 0.782608695652174, ""f1_macro"": 0.6808210180623974, ""primary"": 0.6788548752834467, ""lr"": 3e-05}"
IndiaPoliceEvents_docs,multilabel,ConfliBERT-v2-wsd,124,1024,5,16,0.65824,"{""eb_f1"": 0.6582375478927203, ""eb_acc"": 0.6187739463601531, ""eb_prec"": 0.767094017094017, ""eb_rec"": 0.7532467532467532, ""f1_micro"": 0.773109243697479, ""f1_macro"": 0.6713513513513514, ""primary"": 0.6582375478927203, ""lr"": 3e-05}"
IndiaPoliceEvents_docs,multilabel,ConfliBERT-v2-wsd,123,2048,5,16,0.6829,"{""eb_f1"": 0.682903040734366, ""eb_acc"": 0.642570281124498, ""eb_prec"": 0.8428571428571429, ""eb_rec"": 0.7445887445887446, ""f1_micro"": 0.7719298245614035, ""f1_macro"": 0.6836378806841885, ""primary"": 0.682903040734366, ""lr"": 3e-05}"
IndiaPoliceEvents_docs,multilabel,ConfliBERT-v2-wsd,124,2048,5,16,0.64969,"{""eb_f1"": 0.6496918767507003, ""eb_acc"": 0.6068627450980392, ""eb_prec"": 0.8113425925925926, ""eb_rec"": 0.7207792207792207, ""f1_micro"": 0.7672413793103449, ""f1_macro"": 0.635237267221236, ""primary"": 0.6496918767507003, ""lr"": 3e-05}"
insightCrime,multilabel,ConfliBERT-v2-wsd,123,512,5,8,0.66205,"{""eb_f1"": 0.662046204620462, ""eb_acc"": 0.6226622662266227, ""eb_prec"": 0.7559952038369305, ""eb_rec"": 0.7068764568764568, ""f1_micro"": 0.6975397973950795, ""f1_macro"": 0.6954513219956964, ""primary"": 0.662046204620462, ""lr"": 3e-05}"
insightCrime,multilabel,ConfliBERT-v2-wsd,124,512,5,8,0.6518,"{""eb_f1"": 0.6518032786885246, ""eb_acc"": 0.6147540983606558, ""eb_prec"": 0.7527272727272727, ""eb_rec"": 0.7022144522144521, ""f1_micro"": 0.689051094890511, ""f1_macro"": 0.6907160055938092, ""primary"": 0.6518032786885246, ""lr"": 3e-05}"
insightCrime,multilabel,ConfliBERT-v2-wsd,123,1024,5,8,0.65425,"{""eb_f1"": 0.6542483660130719, ""eb_acc"": 0.6141067538126361, ""eb_prec"": 0.7368421052631579, ""eb_rec"": 0.7057109557109557, ""f1_micro"": 0.6895565092989986, ""f1_macro"": 0.690947783853341, ""primary"": 0.6542483660130719, ""lr"": 3e-05}"
insightCrime,multilabel,ConfliBERT-v2-wsd,124,1024,5,8,0.64177,"{""eb_f1"": 0.6417748917748919, ""eb_acc"": 0.5984848484848484, ""eb_prec"": 0.7359154929577465, ""eb_rec"": 0.6981351981351981, ""f1_micro"": 0.6772334293948127, ""f1_macro"": 0.6894896074730331, ""primary"": 0.6417748917748919, ""lr"": 3e-05}"
insightCrime,multilabel,ConfliBERT-v2-wsd,123,2048,5,8,0.66307,"{""eb_f1"": 0.6630718954248366, ""eb_acc"": 0.619281045751634, ""eb_prec"": 0.7435446009389672, ""eb_rec"": 0.7237762237762237, ""f1_micro"": 0.693069306930693, ""f1_macro"": 0.6984192447643168, ""primary"": 0.6630718954248366, ""lr"": 3e-05}"
insightCrime,multilabel,ConfliBERT-v2-wsd,124,2048,5,8,0.64441,"{""eb_f1"": 0.6444082519001085, ""eb_acc"": 0.6009771986970684, ""eb_prec"": 0.7330960854092526, ""eb_rec"": 0.708041958041958, ""f1_micro"": 0.6761363636363636, ""f1_macro"": 0.6857307741772057, ""primary"": 0.6444082519001085, ""lr"": 3e-05}"
